ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.10]

Дата:;;;;2018.02.06
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;300
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;0

Начало:;;;;10:33:00.031
Край:;;;;10:33:03.487
Продължителност:;;;;3.456

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;402;1;411;30;412;29;;0;DE23E6BC;58960
1;2;0;402;2;415;43;415;42;;0;DE23E6BC;58961
2;4;0;403;3;419;56;420;55;;0;DE23E6BC;58962
3;6;0;403;4;423;69;423;68;;0;DE23E6BC;58963
4;8;0;404;5;426;82;427;81;;0;DE23E6BC;58964
5;10;0;405;6;436;86;436;85;;0;DE23E6BC;58965
6;12;0;405;7;467;85;468;84;;0;DE23E6BC;58966
7;13;0;405;8;483;84;483;83;;0;DE23E6BC;58967
8;15;0;405;9;498;83;498;82;;0;DE23E6BC;58968
9;17;0;405;10;533;87;534;86;;0;DE23E6BC;58969
10;20;0;405;11;567;103;568;102;;0;DE23E6BC;58970
11;21;0;522;83;1997;209;1998;208;;0;DE23E6BD;58971
12;22;0;532;86;2038;206;2038;205;;0;DE23E6BD;58972
13;23;0;532;87;2041;205;2042;204;;0;DE23E6BD;58973
14;24;0;525;84;2018;208;2019;207;;0;DE23E6BD;58974
15;25;0;526;85;2028;207;2029;206;;0;DE23E6BD;58975
16;28;0;406;12;602;117;603;116;;0;DE23E6BC;58976
17;31;0;406;13;677;147;678;146;;0;DE23E6BC;58977
18;32;0;406;14;713;159;713;158;;0;DE23E6BC;58978
19;34;0;535;87;2050;204;2051;203;;0;DE23E6BD;58979
20;36;0;537;88;2057;203;2057;202;;0;DE23E6BD;58980
21;37;0;538;89;2069;202;2070;201;;0;DE23E6BD;58981
22;38;0;539;90;2079;201;2080;200;;0;DE23E6BD;58982
23;39;0;542;92;2095;199;2095;198;;0;DE23E6BD;58983
24;40;0;550;95;2131;196;2132;195;;0;DE23E6BD;58984
25;41;0;542;91;2082;200;2083;199;;0;DE23E6BD;58985
26;42;0;546;93;2108;198;2108;197;;0;DE23E6BD;58986
27;42;0;551;97;2147;194;2148;193;;0;DE23E6BD;58987
28;44;0;550;94;2119;197;2120;196;;0;DE23E6BD;58988
29;45;0;1046;221;3170;46;3171;45;;0;DE23E6BE;58989
30;46;0;406;15;744;173;745;172;;0;DE23E6BC;58990
31;48;0;550;96;2135;195;2135;194;;0;DE23E6BD;58991
32;50;0;406;16;809;200;810;199;;0;DE23E6BC;58992
33;52;0;406;17;841;210;842;209;;0;DE23E6BC;58993
34;54;0;562;103;2197;188;2197;187;;0;DE23E6BD;58994
35;56;0;561;100;2169;191;2170;190;;0;DE23E6BD;58995
36;56;0;562;102;2186;189;2187;188;;0;DE23E6BD;58996
37;57;0;561;99;2159;192;2160;191;;0;DE23E6BD;58997
38;58;0;559;98;2150;193;2151;192;;0;DE23E6BD;58998
39;59;0;562;101;2172;190;2173;189;;0;DE23E6BD;58999
40;60;0;570;103;2199;187;2201;186;;0;DE23E6BD;59000
41;61;0;1070;218;3173;45;3174;44;;0;DE23E6BE;59001
42;62;0;1070;219;3182;44;3183;43;;0;DE23E6BE;59002
43;63;0;406;18;875;224;875;223;;0;DE23E6BC;59003
44;65;0;407;19;925;236;926;235;;0;DE23E6BC;59004
45;68;0;407;20;939;235;940;234;;0;DE23E6BC;59005
46;70;0;571;104;2213;186;2213;185;;0;DE23E6BD;59006
47;71;0;1082;221;3198;41;3199;40;;0;DE23E6BE;59007
48;72;0;1080;220;3195;42;3196;41;;0;DE23E6BE;59008
49;73;0;1080;219;3186;43;3187;42;;0;DE23E6BE;59009
50;74;0;582;106;2227;184;2228;183;;0;DE23E6BD;59010
51;75;0;583;107;2236;183;2237;182;;0;DE23E6BD;59011
52;76;0;583;108;2246;182;2246;181;;0;DE23E6BD;59012
53;77;0;581;105;2224;185;2224;184;;0;DE23E6BD;59013
54;79;0;407;21;957;234;958;233;;0;DE23E6BC;59014
55;80;0;407;22;960;233;961;232;;0;DE23E6BC;59015
56;82;0;586;109;2256;181;2257;180;;0;DE23E6BD;59016
