ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.10]

Дата:;;;;2018.02.06
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;300
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;0

Начало:;;;;10:38:21.087
Край:;;;;10:38:24.688
Продължителност:;;;;3.601

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;381;1;392;30;393;30;;0;DE23E7FD;61437
1;2;0;382;2;397;43;398;43;;0;DE23E7FD;61438
2;3;0;382;3;402;56;404;56;;0;DE23E7FD;61439
3;6;0;382;4;407;69;408;68;;0;DE23E7FD;61440
4;7;0;382;5;411;82;411;81;;0;DE23E7FD;61441
5;9;0;382;6;414;91;414;90;;0;DE23E7FD;61442
6;11;0;382;7;448;90;449;89;;0;DE23E7FD;61443
7;13;0;383;8;466;89;467;88;;0;DE23E7FD;61444
8;14;0;383;9;482;88;483;87;;0;DE23E7FD;61445
9;15;0;383;10;516;87;517;86;;0;DE23E7FD;61446
10;16;0;384;11;552;102;552;101;;0;DE23E7FD;61447
11;17;0;517;87;2123;204;2123;203;;0;DE23E7FE;61448
12;17;0;526;90;2155;201;2156;200;;0;DE23E7FE;61449
13;18;0;518;88;2143;203;2143;202;;0;DE23E7FE;61450
14;19;0;519;89;2146;202;2147;201;;0;DE23E7FE;61451
15;20;0;530;92;2165;199;2165;198;;0;DE23E7FE;61452
16;21;0;529;91;2162;200;2162;199;;0;DE23E7FE;61453
17;23;0;384;12;589;117;590;116;;0;DE23E7FD;61454
18;25;0;385;13;665;147;666;146;;0;DE23E7FD;61455
19;28;0;386;14;700;159;701;158;;0;DE23E7FD;61456
20;29;0;530;93;2182;198;2182;197;;0;DE23E7FE;61457
21;30;0;542;100;2274;191;2275;190;;0;DE23E7FE;61458
22;31;0;531;94;2195;197;2196;196;;0;DE23E7FE;61459
23;32;0;532;95;2209;196;2210;195;;0;DE23E7FE;61460
24;32;0;541;97;2236;194;2237;193;;0;DE23E7FE;61461
25;33;0;541;98;2254;193;2254;192;;0;DE23E7FE;61462
26;34;0;533;96;2216;195;2216;194;;0;DE23E7FE;61463
27;34;0;542;99;2267;192;2268;191;;0;DE23E7FE;61464
28;35;0;1044;212;3233;56;3234;55;;0;DE23E7FF;61465
29;38;0;386;15;735;171;735;170;;0;DE23E7FD;61466
30;39;0;386;16;804;197;805;196;;0;DE23E7FD;61467
31;40;0;386;17;836;209;838;208;;0;DE23E7FD;61468
32;42;0;543;101;2284;190;2284;189;;0;DE23E7FE;61469
33;43;0;1044;213;3240;55;3240;54;;0;DE23E7FF;61470
34;44;0;1045;214;3247;54;3247;53;;0;DE23E7FF;61471
35;44;0;554;103;2304;187;2305;186;;0;DE23E7FE;61472
36;45;0;553;102;2300;188;2301;187;;0;DE23E7FE;61473
37;46;0;556;105;2340;185;2340;184;;0;DE23E7FE;61474
38;46;0;548;102;2290;189;2291;188;;0;DE23E7FE;61475
39;47;0;1059;214;3259;52;3260;51;;0;DE23E7FF;61476
40;49;0;388;18;868;221;869;220;;0;DE23E7FD;61477
41;51;0;388;19;913;226;914;225;;0;DE23E7FD;61478
42;52;0;389;20;929;225;930;224;;0;DE23E7FD;61479
43;54;0;555;104;2324;186;2325;185;;0;DE23E7FE;61480
44;55;0;556;106;2349;184;2350;183;;0;DE23E7FE;61481
45;56;0;1060;215;3266;51;3267;50;;0;DE23E7FF;61482
46;57;0;1057;214;3250;53;3250;52;;0;DE23E7FF;61483
47;57;0;567;109;2365;181;2366;180;;0;DE23E7FE;61484
