ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.10]

Дата:;;;;2018.02.06
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;300
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;0

Начало:;;;;10:40:56.369
Край:;;;;10:41:00.809
Продължителност:;;;;4.440

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;1759;1;1795;30;1796;29;;0;DE23E898;63800
1;9;0;1759;2;1804;43;1805;42;;0;DE23E898;63801
2;13;0;1759;3;1812;56;1813;55;;0;DE23E898;63802
3;21;0;1760;4;1823;70;1824;70;;0;DE23E898;63803
4;28;0;1760;5;1834;83;1835;83;;0;DE23E898;63804
5;36;0;1760;6;1840;96;1841;96;;0;DE23E898;63805
6;40;0;1761;7;1938;119;1939;118;;0;DE23E898;63806
7;47;0;1766;8;2018;131;2019;130;;0;DE23E898;63807
8;55;0;1766;9;2091;143;2092;142;;0;DE23E899;63808
9;59;0;1771;10;2274;170;2274;169;;0;DE23E899;63809
10;64;0;1772;11;2316;171;2317;170;;0;DE23E899;63810
11;67;0;;0;;0;;0;1821;63;0;63811
12;71;0;;0;;0;;0;1821;63;0;63812
13;75;0;;0;;0;;0;1821;63;0;63813
14;80;0;;0;;0;;0;1821;63;0;63814
15;87;0;1776;12;2352;173;2353;172;;0;DE23E899;63815
16;91;0;1777;13;2407;176;2408;175;;0;DE23E899;63816
17;99;0;1803;37;3041;168;3042;167;;0;DE23E89A;63817
18;107;0;1782;14;2424;176;2425;175;;0;DE23E899;63818
19;111;0;;0;;0;;0;1821;64;0;63819
20;116;0;;0;;0;;0;1821;65;0;63820
21;120;0;1821;65;3408;138;3409;137;;0;DE23E89A;63821
22;124;0;;0;;0;;0;1822;66;0;63822
23;127;0;;0;;0;;0;1821;66;0;63823
24;132;0;;0;;0;;0;1821;66;0;63824
25;136;0;;0;;0;;0;1822;66;0;63828
26;144;0;1782;15;2457;177;2457;176;;0;DE23E899;63829
27;149;0;1783;16;2495;177;2496;176;;0;DE23E899;63830
28;157;0;1783;17;2522;177;2522;176;;0;DE23E899;63831
29;165;0;;0;;0;;0;1822;66;0;63832
30;170;0;;0;;0;;0;1822;67;0;63833
31;175;0;;0;;0;;0;1822;67;0;63834
32;179;0;;0;;0;;0;1822;67;0;63835
33;182;0;;0;;0;;0;1822;68;0;63836
34;186;0;1804;43;3188;162;3188;161;;0;DE23E89A;63837
35;191;0;;0;;0;;0;1822;68;0;63838
36;195;0;1823;70;3445;133;3445;132;;0;DE23E89A;63839
37;205;0;1783;18;2540;176;2540;175;;0;DE23E899;63840
38;213;0;1784;19;2589;178;2589;177;;0;DE23E899;63841
39;217;0;1784;20;2612;178;2613;177;;0;DE23E89A;63842
40;226;0;1810;43;3197;161;3198;160;;0;DE23E89A;63843
41;231;0;;0;;0;;0;1823;70;0;63844
42;235;0;;0;;0;;0;1823;70;0;63845
43;238;0;1824;71;3460;131;3461;130;;0;DE23E89A;63846
44;242;0;;0;;0;;0;1823;70;0;63847
45;246;0;1824;71;3451;132;3452;131;;0;DE23E89A;63848
46;250;0;;0;;0;;0;1824;71;0;63849
47;259;0;1784;21;2634;178;2635;177;;0;DE23E89A;63850
