ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.10]

Дата:;;;;2018.01.17
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;20
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;0

Начало:;;;;17:22:49.526
Край:;;;;17:22:50.622
Продължителност:;;;;1.096

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;72;1;89;8;89;7;;0;DE09E8C9;59635
1;6;0;72;2;103;7;103;6;;0;DE09E8C9;59636
2;9;0;72;3;105;6;106;5;;0;DE09E8C9;59637
3;13;0;73;4;114;5;114;4;;0;DE09E8C9;59638
4;16;0;73;5;116;4;117;3;;0;DE09E8C9;59639
5;20;0;73;6;125;3;126;2;;0;DE09E8C9;59640
6;23;0;525;1;591;10;592;9;;0;DE09E8CA;59641
7;26;0;73;7;128;2;129;1;;0;DE09E8C9;59642
8;33;0;535;2;609;9;610;8;;0;DE09E8CA;59643
9;36;0;537;3;612;8;612;7;;0;DE09E8CA;59644
10;38;0;540;4;618;7;619;6;;0;DE09E8CA;59645
11;41;0;548;5;621;6;621;5;;0;DE09E8CA;59646
12;44;0;549;6;629;5;629;4;;0;DE09E8CA;59647
13;48;0;549;7;631;4;632;3;;0;DE09E8CA;59648
14;50;0;73;8;135;1;135;0;;0;DE09E8C9;59649
15;56;0;556;8;638;3;639;2;;0;DE09E8CA;59650
16;59;0;562;9;640;2;641;1;;0;DE09E8CA;59651
17;62;0;1063;1;1091;2;1092;1;;0;DE09E8CA;59652
18;65;0;569;10;650;1;650;0;;0;DE09E8CA;59653
19;68;0;1073;2;1095;1;1096;0;;0;DE09E8CA;59654
