ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.10]

Дата:;;;;2018.02.06
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;300
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;0

Начало:;;;;10:47:03.462
Край:;;;;10:47:07.423
Продължителност:;;;;3.961

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;1209;1;1254;35;1255;34;;0;DE23EA07;51019
1;6;0;1213;2;1262;48;1263;47;;0;DE23EA07;51020
2;9;0;1214;3;1271;62;1271;62;;0;DE23EA07;51021
3;14;0;1217;4;1275;76;1276;75;;0;DE23EA07;51022
4;20;0;1218;5;1283;89;1284;88;;0;DE23EA07;51023
5;26;0;1222;6;1289;103;1290;103;;0;DE23EA07;51024
6;32;0;1223;7;1316;112;1316;111;;0;DE23EA07;51025
7;35;0;1226;8;1473;142;1474;141;;0;DE23EA07;51026
8;40;0;1227;9;1543;156;1544;155;;0;DE23EA07;51027
9;46;0;1230;10;1621;170;1622;169;;0;DE23EA07;51032
10;49;0;1230;11;1764;190;1765;189;;0;DE23EA07;51033
11;53;0;1231;12;1800;195;1800;194;;0;DE23EA07;51034
12;58;0;1231;13;1820;194;1821;193;;0;DE23EA08;51035
13;62;0;1231;14;1866;197;1867;196;;0;DE23EA08;51036
14;67;0;;0;;0;;0;1285;91;0;51037
15;73;0;1231;15;1890;198;1890;197;;0;DE23EA08;51038
16;77;0;1286;92;3009;139;3010;138;;0;DE23EA09;51039
17;80;0;;0;;0;;0;1286;92;0;51040
18;82;0;;0;;0;;0;1286;92;0;51041
19;85;0;;0;;0;;0;1286;92;0;51042
20;91;0;1231;16;1913;199;1914;198;;0;DE23EA08;51043
21;94;0;1232;17;1956;200;1956;199;;0;DE23EA08;51044
22;99;0;1232;18;1972;199;1973;198;;0;DE23EA08;51045
23;104;0;1271;62;2770;172;2771;171;;0;DE23EA09;51046
24;107;0;;0;;0;;0;1286;92;0;51047
25;110;0;;0;;0;;0;1287;93;0;51048
26;113;0;;0;;0;;0;1287;93;0;51049
27;118;0;1232;19;1994;200;1995;199;;0;DE23EA08;51050
28;122;0;1232;20;2035;199;2036;198;;0;DE23EA08;51051
29;127;0;1287;95;3037;136;3038;135;;0;DE23EA09;51052
30;132;0;1232;21;2064;200;2065;199;;0;DE23EA08;51053
31;135;0;;0;;0;;0;1287;96;0;51054
32;138;0;1271;63;2773;171;2774;170;;0;DE23EA09;51055
33;141;0;;0;;0;;0;1287;96;0;51056
34;143;0;;0;;0;;0;1287;96;0;51057
35;146;0;1232;22;2089;200;2090;199;;0;DE23EA08;51058
36;152;0;1233;23;2137;202;2138;201;;0;DE23EA08;51059
37;157;0;1272;64;2792;169;2792;168;;0;DE23EA09;51060
38;162;0;1233;24;2169;206;2169;205;;0;DE23EA08;51061
39;165;0;;0;;0;;0;1287;96;0;51062
40;168;0;;0;;0;;0;1288;98;0;51063
41;171;0;;0;;0;;0;1288;97;0;51064
42;174;0;;0;;0;;0;1288;98;0;51065
43;177;0;;0;;0;;0;1288;97;0;51066
44;183;0;1236;25;2182;206;2182;205;;0;DE23EA08;51067
45;186;0;1238;26;2216;208;2217;207;;0;DE23EA08;51068
46;192;0;;0;;0;;0;1288;98;0;51069
47;197;0;1238;27;2239;209;2240;208;;0;DE23EA08;51070
48;201;0;1273;68;2823;165;2823;164;;0;DE23EA09;51071
49;203;0;;0;;0;;0;1288;98;0;51072
50;207;0;;0;;0;;0;1288;99;0;51073
51;209;0;1288;99;3070;132;3070;131;;0;DE23EA09;51074
52;212;0;;0;;0;;0;1288;99;0;51075
53;217;0;1242;28;2258;208;2259;207;;0;DE23EA08;51076
54;221;0;1242;29;2275;207;2276;206;;0;DE23EA08;51077
55;226;0;1246;30;2291;206;2292;205;;0;DE23EA08;51078
56;232;0;;0;;0;;0;1290;103;0;51079
57;235;0;1274;70;2835;163;2836;162;;0;DE23EA09;51080
58;237;0;;0;;0;;0;1290;103;0;51081
59;241;0;1291;105;3131;125;3132;124;;0;DE23EA09;51082
60;243;0;1291;106;3135;124;3136;123;;0;DE23EA09;51083
61;246;0;1246;31;2308;205;2309;204;;0;DE23EA08;51084
62;251;0;;0;;0;;0;1291;107;0;51085
63;257;0;1249;32;2326;204;2327;203;;0;DE23EA08;51086
64;261;0;1250;33;2342;203;2343;202;;0;DE23EA08;51087
