ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.10]

Дата:;;;;2018.01.24
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;100
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;0

Начало:;;;;12:45:53.052
Край:;;;;12:45:54.329
Продължителност:;;;;1.277

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;216;1;231;36;231;35;;0;DE12E261;54528
1;3;0;218;2;235;39;236;38;;0;DE12E261;54529
2;6;0;218;3;259;38;260;37;;0;DE12E261;54530
3;9;0;220;4;277;37;277;36;;0;DE12E261;54531
4;11;0;220;5;295;36;297;35;;0;DE12E261;54532
5;13;0;220;6;312;35;314;34;;0;DE12E261;54533
6;17;0;221;7;332;34;332;33;;0;DE12E261;54534
7;18;0;221;8;374;33;374;32;;0;DE12E261;54535
8;21;0;221;9;395;32;396;31;;0;DE12E261;54536
9;24;0;221;10;406;31;407;30;;0;DE12E261;54537
10;26;0;221;11;415;30;416;29;;0;DE12E261;54538
11;27;0;221;12;422;29;423;28;;0;DE12E261;54539
12;29;0;530;14;784;48;784;47;;0;DE12E261;54540
13;31;0;532;16;816;46;817;45;;0;DE12E261;54541
14;32;0;532;15;805;47;805;46;;0;DE12E261;54542
15;34;0;536;17;829;44;831;43;;0;DE12E261;54543
16;35;0;536;16;820;45;820;44;;0;DE12E261;54544
17;36;0;537;18;849;43;850;42;;0;DE12E261;54545
18;37;0;538;19;862;42;863;41;;0;DE12E261;54546
19;41;0;222;13;426;28;426;27;;0;DE12E261;54547
20;42;0;222;14;435;27;436;26;;0;DE12E261;54548
21;45;0;545;19;866;41;866;40;;0;DE12E261;54549
22;48;0;222;15;438;26;439;25;;0;DE12E261;54550
23;49;0;550;20;879;40;881;39;;0;DE12E261;54551
24;51;0;551;21;898;39;899;38;;0;DE12E261;54552
25;52;0;555;21;910;38;911;37;;0;DE12E261;54553
26;54;0;1055;17;1215;11;1216;10;;0;DE12E262;54554
27;55;0;1055;16;1211;12;1212;11;;0;DE12E262;54555
28;57;0;557;22;914;37;915;36;;0;DE12E261;54556
29;59;0;1059;17;1223;10;1224;9;;0;DE12E262;54557
30;61;0;223;16;448;25;449;24;;0;DE12E261;54558
31;65;0;223;17;452;24;453;23;;0;DE12E261;54559
32;68;0;223;18;461;23;462;22;;0;DE12E261;54560
33;70;0;573;21;922;36;923;35;;0;DE12E261;54561
34;72;0;573;22;925;35;926;34;;0;DE12E261;54562
35;73;0;574;23;935;34;936;33;;0;DE12E261;54563
36;74;0;575;24;939;33;939;32;;0;DE12E261;54564
37;76;0;1076;16;1227;9;1228;8;;0;DE12E262;54565
38;77;0;1079;17;1236;8;1237;7;;0;DE12E262;54566
39;80;0;584;24;948;32;948;31;;0;DE12E261;54567
40;83;0;225;19;465;22;466;21;;0;DE12E261;54568
41;85;0;225;20;475;21;476;20;;0;DE12E261;54569
42;88;0;225;21;480;20;481;19;;0;DE12E261;54570
43;91;0;592;24;951;31;952;30;;0;DE12E261;54571
44;92;0;593;25;960;30;960;29;;0;DE12E261;54572
45;94;0;595;26;965;29;966;28;;0;DE12E261;54573
46;95;0;596;27;974;28;975;27;;0;DE12E261;54574
47;97;0;1098;16;1239;7;1240;6;;0;DE12E262;54575
48;99;0;601;28;978;27;978;26;;0;DE12E261;54576
49;102;0;226;22;490;19;490;18;;0;DE12E261;54577
50;105;0;226;23;493;18;494;17;;0;DE12E261;54578
51;108;0;227;24;503;17;504;16;;0;DE12E261;54579
52;109;0;610;28;987;26;987;25;;0;DE12E261;54580
