ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.10]

Дата:;;;;2018.02.06
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;300
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;0

Начало:;;;;10:48:01.617
Край:;;;;10:48:06.268
Продължителност:;;;;4.651

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;2320;1;2377;31;2378;30;;0;DE23EA41;52320
1;9;0;2321;2;2388;44;2388;43;;0;DE23EA41;52321
2;16;0;2321;3;2407;59;2408;58;;0;DE23EA41;52322
3;25;0;2321;4;2413;72;2414;71;;0;DE23EA41;52323
4;36;0;2322;5;2425;86;2426;85;;0;DE23EA42;52324
5;46;0;2329;6;2430;99;2431;99;;0;DE23EA42;52325
6;55;0;2329;7;2657;124;2658;124;;0;DE23EA42;52326
7;65;0;2330;8;2753;136;2754;135;;0;DE23EA42;52327
8;70;0;2337;9;2867;146;2867;145;;0;DE23EA42;52328
9;75;0;2337;10;2954;150;2955;149;;0;DE23EA42;52329
10;80;0;2344;11;2989;151;2989;150;;0;DE23EA42;52330
11;85;0;;0;;0;;0;2397;52;0;52331
12;90;0;;0;;0;;0;2397;52;0;52332
13;96;0;2385;32;3521;142;3522;141;;0;DE23EA44;52333
14;101;0;;0;;0;;0;2397;52;0;52334
15;112;0;2345;12;3007;150;3008;149;;0;DE23EA42;52335
16;118;0;2352;13;3061;152;3062;151;;0;DE23EA43;52336
17;128;0;2386;34;3571;140;3572;139;;0;DE23EA44;52337
18;139;0;2352;14;3085;152;3086;151;;0;DE23EA43;52338
19;144;0;;0;;0;;0;2397;54;0;52339
20;150;0;;0;;0;;0;2397;55;0;52340
21;155;0;;0;;0;;0;2397;55;0;52341
22;159;0;;0;;0;;0;2397;55;0;52342
23;165;0;;0;;0;;0;2397;55;0;52343
24;170;0;2386;35;3587;139;3588;138;;0;DE23EA44;52344
25;175;0;;0;;0;;0;2399;55;0;52345
26;186;0;2353;15;3102;151;3103;150;;0;DE23EA43;52346
27;192;0;2353;16;3156;154;3156;153;;0;DE23EA43;52347
28;202;0;2353;17;3187;154;3188;153;;0;DE23EA43;52348
29;213;0;;0;;0;;0;2399;57;0;52349
30;218;0;;0;;0;;0;2399;57;0;52350
31;223;0;;0;;0;;0;2399;58;0;52351
32;228;0;;0;;0;;0;2399;58;0;52352
33;233;0;;0;;0;;0;2399;58;0;52353
34;238;0;;0;;0;;0;2400;58;0;52354
35;243;0;;0;;0;;0;2400;58;0;52355
36;254;0;2353;18;3204;153;3205;152;;0;DE23EA43;52356
37;260;0;2354;19;3252;155;3253;154;;0;DE23EA43;52357
38;270;0;2354;20;3275;154;3276;153;;0;DE23EA43;52358
39;280;0;;0;;0;;0;2406;59;0;52359
40;286;0;;0;;0;;0;2407;59;0;52360
41;291;0;;0;;0;;0;2407;59;0;52361
42;296;0;;0;;0;;0;2408;59;0;52362
43;302;0;;0;;0;;0;2408;59;0;52363
44;307;0;;0;;0;;0;2408;59;0;52364
45;313;0;;0;;0;;0;2408;59;0;52365
46;319;0;2354;21;3292;153;3294;152;;0;DE23EA43;52366
47;330;0;2409;61;3849;111;3850;110;;0;DE23EA44;52367
48;341;0;2354;22;3333;153;3333;152;;0;DE23EA44;52368
49;347;0;2354;23;3350;152;3351;151;;0;DE23EA44;52369
50;357;0;;0;;0;;0;2409;62;0;52370
51;363;0;2387;44;3689;130;3689;129;;0;DE23EA44;52371
52;369;0;;0;;0;;0;2409;62;0;52372
53;374;0;;0;;0;;0;2409;62;0;52373
54;379;0;;0;;0;;0;2409;62;0;52374
55;385;0;2409;63;3863;109;3864;108;;0;DE23EA44;52375
56;392;0;;0;;0;;0;2409;63;0;52376
57;404;0;2354;24;3361;151;3362;150;;0;DE23EA44;52377
58;416;0;2355;25;3372;150;3373;149;;0;DE23EA44;52378
59;422;0;2355;26;3388;149;3388;148;;0;DE23EA44;52379
60;433;0;2395;45;3704;128;3705;127;;0;DE23EA44;52380
61;439;0;;0;;0;;0;2410;65;0;52381
62;446;0;;0;;0;;0;2410;65;0;52382
63;451;0;;0;;0;;0;2410;65;0;52383
64;456;0;;0;;0;;0;2410;65;0;52384
65;463;0;2397;47;3726;126;3727;125;;0;DE23EA44;52385
66;469;0;;0;;0;;0;2410;66;0;52386
67;474;0;;0;;0;;0;2410;66;0;52387
68;486;0;2355;27;3405;148;3405;147;;0;DE23EA44;52388
69;492;0;2363;28;3423;147;3424;146;;0;DE23EA44;52389
70;504;0;;0;;0;;0;2411;67;0;52390
71;514;0;2363;29;3441;146;3442;145;;0;DE23EA44;52391
72;521;0;2369;30;3458;145;3459;144;;0;DE23EA44;52392
73;533;0;2371;31;3491;144;3491;143;;0;DE23EA44;52393
74;543;0;2397;50;3751;123;3752;122;;0;DE23EA44;52394
75;549;0;;0;;0;;0;2412;68;0;52395
76;554;0;;0;;0;;0;2412;69;0;52396
77;560;0;2412;69;3916;103;3917;102;;0;DE23EA44;52397
78;565;0;;0;;0;;0;2412;69;0;52398
79;571;0;;0;;0;;0;2412;69;0;52399
80;576;0;;0;;0;;0;2413;70;0;52400
81;582;0;2378;31;3505;143;3505;142;;0;DE23EA44;52401
82;593;0;2413;71;3935;101;3936;100;;0;DE23EA44;52402
83;604;0;;0;;0;;0;2413;71;0;52403
84;610;0;2385;33;3555;141;3555;140;;0;DE23EA44;52404
85;621;0;;0;;0;;0;2413;72;0;52405
86;631;0;;0;;0;;0;2413;72;0;52406
87;637;0;;0;;0;;0;2413;72;0;52407
88;642;0;;0;;0;;0;2413;72;0;52408
89;648;0;2397;55;3789;118;3790;117;;0;DE23EA44;52409
90;653;0;;0;;0;;0;2413;72;0;52410
91;658;0;;0;;0;;0;2413;72;0;52411
92;664;0;;0;;0;;0;2413;72;0;52412
93;670;0;;0;;0;;0;2414;72;0;52413
94;682;0;;0;;0;;0;2414;73;0;52414
95;693;0;2386;36;3616;138;3616;137;;0;DE23EA44;52415
96;700;0;2386;37;3622;137;3622;136;;0;DE23EA44;52416
97;710;0;2399;57;3813;116;3814;115;;0;DE23EA44;52417
98;716;0;2415;75;3985;96;3985;95;;0;DE23EA44;52418
99;721;0;;0;;0;;0;2415;75;0;52419
100;727;0;;0;;0;;0;2415;75;0;52420
101;732;0;;0;;0;;0;2415;75;0;52421
102;738;0;;0;;0;;0;2415;75;0;52422
103;743;0;;0;;0;;0;2415;75;0;52423
104;756;0;2386;38;3629;136;3629;135;;0;DE23EA44;52424
105;762;0;2386;39;3631;135;3632;134;;0;DE23EA44;52425
106;773;0;2387;40;3642;134;3643;133;;0;DE23EA44;52426
107;784;0;;0;;0;;0;2422;77;0;52427
108;790;0;;0;;0;;0;2422;77;0;52428
109;795;0;;0;;0;;0;2422;77;0;52429
110;800;0;;0;;0;;0;2423;78;0;52430
111;805;0;;0;;0;;0;2423;78;0;52431
112;811;0;;0;;0;;0;2423;78;0;52432
113;816;0;;0;;0;;0;2423;78;0;52433
114;822;0;2387;41;3646;133;3647;132;;0;DE23EA44;52434
115;833;0;;0;;0;;0;2423;78;0;52435
116;844;0;2387;42;3655;132;3656;131;;0;DE23EA44;52436
117;850;0;2387;43;3671;131;3671;130;;0;DE23EA44;52437
118;861;0;2423;80;4028;91;4029;90;;0;DE23EA44;52438
119;872;0;;0;;0;;0;2423;80;0;52439
120;879;0;;0;;0;;0;2424;81;0;52440
121;884;0;;0;;0;;0;2424;81;0;52441
122;890;0;;0;;0;;0;2424;81;0;52450
123;896;0;;0;;0;;0;2424;81;0;52451
124;901;0;;0;;0;;0;2424;81;0;52452
125;907;0;2409;64;3873;108;3874;107;;0;DE23EA44;52453
126;913;0;;0;;0;;0;2424;81;0;52454
127;919;0;2392;44;3692;129;3693;128;;0;DE23EA44;52455
128;930;0;2410;65;3879;107;3880;106;;0;DE23EA44;52456
129;942;0;;0;;0;;0;2424;83;0;52457
130;948;0;2397;46;3707;127;3708;126;;0;DE23EA44;52458
131;959;0;2424;84;4054;87;4054;86;;0;DE23EA44;52459
132;969;0;;0;;0;;0;2424;84;0;52460
133;975;0;2397;48;3738;125;3739;124;;0;DE23EA44;52461
134;987;0;;0;;0;;0;2425;85;0;52462
135;992;0;2411;67;3894;105;3895;104;;0;DE23EA44;52463
136;998;0;2425;86;4078;85;4079;84;;0;DE23EA44;52464
137;1003;0;;0;;0;;0;2425;86;0;52465
138;1008;0;;0;;0;;0;2425;86;0;52466
139;1015;0;;0;;0;;0;2425;86;0;52467
140;1020;0;;0;;0;;0;2425;86;0;52468
141;1026;0;2397;49;3745;124;3746;123;;0;DE23EA44;52469
142;1038;0;;0;;0;;0;2425;86;0;52470
143;1049;0;;0;;0;;0;2426;86;0;52471
144;1054;0;2397;51;3755;122;3756;121;;0;DE23EA44;52472
145;1066;0;2397;52;3765;121;3766;120;;0;DE23EA44;52473
146;1078;0;;0;;0;;0;2427;88;0;52474
147;1083;0;;0;;0;;0;2427;88;0;52475
148;1088;0;2427;89;4106;81;4106;80;;0;DE23EA44;52476
149;1094;0;;0;;0;;0;2427;89;0;52477
150;1099;0;;0;;0;;0;2427;89;0;52478
151;1105;0;;0;;0;;0;2427;89;0;52479
152;1110;0;;0;;0;;0;2427;89;0;52480
153;1117;0;;0;;0;;0;2427;89;0;52481
154;1122;0;2397;53;3768;120;3769;119;;0;DE23EA44;52482
155;1134;0;2397;54;3779;119;3780;118;;0;DE23EA44;52483
156;1146;0;;0;;0;;0;2428;89;0;52484
157;1157;0;;0;;0;;0;2428;90;0;52485
158;1163;0;2414;72;3955;99;3956;98;;0;DE23EA44;52486
159;1169;0;;0;;0;;0;2428;91;0;52487
160;1175;0;2428;91;4121;79;4122;78;;0;DE23EA44;52488
161;1180;0;;0;;0;;0;2428;91;0;52489
