ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.10]

Дата:;;;;2018.01.17
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;1000
Режим на формиране на заявките:;;;;Consecutive
Задръжка до разпадане:;;;;0

Начало:;;;;17:19:49.900
Край:;;;;17:21:11.892
Продължителност:;;;;21.992

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
85;6249;7;6750;1;6841;7;6842;6;;0;DE09E81C;57879
86;6766;1;6768;2;6854;6;6855;5;;0;DE09E81C;57883
87;6778;2;6778;3;6857;5;6858;4;;0;DE09E81C;57884
88;6787;3;6788;4;6864;4;6865;3;;0;DE09E81C;57885
89;6796;4;6797;5;6867;3;6868;2;;0;DE09E81C;57886
90;6801;5;6805;6;6874;2;6875;1;;0;DE09E81C;57887
91;6809;6;6810;7;6877;1;6878;0;;0;DE09E81C;57888
92;6813;7;7315;1;7401;7;7401;6;;0;DE09E81D;57889
93;7331;1;7332;2;7403;6;7403;5;;0;DE09E81D;57890
94;7340;2;7340;3;7409;5;7410;4;;0;DE09E81D;57891
95;7346;3;7346;4;7414;4;7415;3;;0;DE09E81D;57892
96;7352;4;7353;5;7416;3;7417;2;;0;DE09E81D;57893
97;7363;5;7364;6;7422;2;7423;1;;0;DE09E81D;57894
98;7369;6;7370;7;7427;1;7428;0;;0;DE09E81D;57895
99;7373;7;7874;1;7953;7;7953;6;;0;DE09E81D;57896
100;7891;1;7892;2;7965;6;7966;5;;0;DE09E81D;57900
101;7902;2;7903;3;7970;5;7970;4;;0;DE09E81D;57901
102;7910;3;7911;4;7972;4;7973;3;;0;DE09E81D;57902
103;7916;4;7917;5;7978;3;7979;2;;0;DE09E81D;57903
104;7922;5;7927;6;7980;2;7981;1;;0;DE09E81D;57904
105;7932;6;7932;7;7986;1;7987;0;;0;DE09E81D;57905
