ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.10]

Дата:;;;;2018.02.06
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;300
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;0

Начало:;;;;10:40:38.301
Край:;;;;10:40:42.413
Продължителност:;;;;4.112

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;1488;1;1515;30;1515;29;;0;DE23E886;63114
1;7;0;1492;2;1524;43;1524;42;;0;DE23E886;63115
2;11;0;1493;3;1532;57;1533;56;;0;DE23E886;63116
3;18;0;1493;4;1541;71;1542;71;;0;DE23E886;63117
4;24;0;1493;5;1550;84;1550;83;;0;DE23E886;63118
5;31;0;1494;6;1555;97;1556;97;;0;DE23E886;63119
6;37;0;1494;7;1657;122;1658;121;;0;DE23E886;63120
7;41;0;1494;8;1734;136;1734;135;;0;DE23E886;63121
8;48;0;1494;9;1809;149;1810;148;;0;DE23E886;63122
9;52;0;1494;10;1988;180;1989;179;;0;DE23E886;63123
10;56;0;1494;11;2030;183;2031;182;;0;DE23E886;63124
11;59;0;;0;;0;;0;1543;73;0;63125
12;62;0;1544;74;3145;141;3145;140;;0;DE23E888;63126
13;66;0;;0;;0;;0;1544;74;0;63127
14;69;0;;0;;0;;0;1544;74;0;63128
15;77;0;1495;12;2066;184;2068;183;;0;DE23E887;63129
16;82;0;1495;13;2120;187;2120;186;;0;DE23E887;63130
17;88;0;;0;;0;;0;1544;74;0;63131
18;94;0;1495;14;2138;186;2139;185;;0;DE23E887;63132
19;98;0;;0;;0;;0;1544;74;0;63133
20;102;0;1544;75;3148;140;3148;139;;0;DE23E888;63134
21;105;0;;0;;0;;0;1544;75;0;63135
22;108;0;;0;;0;;0;1544;75;0;63136
23;111;0;;0;;0;;0;1544;76;0;63137
24;114;0;;0;;0;;0;1544;76;0;63138
25;118;0;1544;77;3162;138;3163;137;;0;DE23E888;63139
26;121;0;;0;;0;;0;1544;77;0;63140
27;124;0;1495;15;2172;188;2173;187;;0;DE23E887;63141
28;132;0;1495;16;2210;189;2211;188;;0;DE23E887;63142
29;139;0;1496;17;2234;189;2235;188;;0;DE23E887;63143
30;146;0;;0;;0;;0;1544;77;0;63144
31;150;0;1530;49;2924;168;2924;167;;0;DE23E888;63145
32;153;0;;0;;0;;0;1544;77;0;63146
33;156;0;;0;;0;;0;1544;77;0;63147
34;160;0;;0;;0;;0;1545;78;0;63148
35;164;0;1545;78;3171;137;3172;136;;0;DE23E888;63149
36;167;0;;0;;0;;0;1545;78;0;63150
37;173;0;1499;18;2257;189;2258;188;;0;DE23E887;63151
