ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.10]

Дата:;;;;2018.02.06
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;300
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;0

Начало:;;;;10:47:51.499
Край:;;;;10:47:55.929
Продължителност:;;;;4.430

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;1953;1;1992;30;1992;29;;0;DE23EA37;51948
1;8;0;1953;2;2004;43;2004;42;;0;DE23EA37;51954
2;13;0;1953;3;2017;56;2017;55;;0;DE23EA37;51955
3;22;0;1954;4;2033;69;2034;68;;0;DE23EA37;51956
4;30;0;1954;5;2046;83;2046;82;;0;DE23EA37;51957
5;37;0;1954;6;2059;96;2060;95;;0;DE23EA37;51958
6;45;0;1955;7;2211;119;2212;118;;0;DE23EA38;51959
7;50;0;1955;8;2325;134;2325;133;;0;DE23EA38;51960
8;59;0;1955;9;2430;146;2430;145;;0;DE23EA38;51961
9;63;0;1956;10;2599;162;2599;161;;0;DE23EA38;51962
10;67;0;1962;11;2622;162;2623;161;;0;DE23EA38;51963
11;71;0;2002;36;3329;152;3330;151;;0;DE23EA39;51964
12;75;0;;0;;0;;0;2017;56;0;51965
13;78;0;2018;56;3543;130;3544;129;;0;DE23EA3A;51966
14;83;0;;0;;0;;0;2018;56;0;51967
15;87;0;;0;;0;;0;2018;56;0;51968
16;96;0;1963;12;2659;164;2660;163;;0;DE23EA38;51969
17;104;0;1964;13;2692;163;2693;162;;0;DE23EA38;51970
18;109;0;1970;14;2709;162;2710;161;;0;DE23EA38;51971
19;117;0;;0;;0;;0;2020;59;0;51972
20;121;0;2003;37;3347;151;3348;150;;0;DE23EA3A;51973
21;124;0;;0;;0;;0;2019;59;0;51974
22;128;0;;0;;0;;0;2019;59;0;51975
23;132;0;;0;;0;;0;2020;59;0;51976
24;136;0;2003;39;3372;149;3373;148;;0;DE23EA3A;51977
25;140;0;;0;;0;;0;2020;59;0;51978
26;143;0;;0;;0;;0;2020;59;0;51979
27;148;0;1972;15;2752;165;2753;164;;0;DE23EA38;51980
28;156;0;;0;;0;;0;2020;59;0;51981
29;164;0;1976;16;2787;164;2788;163;;0;DE23EA38;51982
30;169;0;1980;17;2818;165;2818;164;;0;DE23EA39;51983
31;177;0;2026;61;3593;125;3593;124;;0;DE23EA3A;51984
32;182;0;2003;40;3394;148;3394;147;;0;DE23EA3A;51985
33;186;0;;0;;0;;0;2026;61;0;51986
34;189;0;;0;;0;;0;2026;61;0;51987
35;193;0;;0;;0;;0;2027;62;0;51988
36;197;0;2003;41;3413;147;3414;146;;0;DE23EA3A;51989
37;202;0;;0;;0;;0;2028;62;0;51990
38;206;0;;0;;0;;0;2028;62;0;51991
39;214;0;1981;18;2841;165;2842;164;;0;DE23EA39;51992
40;221;0;1984;19;2892;166;2893;165;;0;DE23EA39;51993
41;227;0;1988;20;2927;168;2928;167;;0;DE23EA39;51994
42;235;0;;0;;0;;0;2029;62;0;51995
43;240;0;;0;;0;;0;2029;63;0;51996
44;244;0;;0;;0;;0;2029;63;0;51997
45;248;0;;0;;0;;0;2030;66;0;51998
46;252;0;2030;64;3611;122;3612;121;;0;DE23EA3A;51999
47;256;0;2030;65;3618;121;3618;120;;0;DE23EA3A;52000
48;260;0;;0;;0;;0;2030;66;0;52001
