ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.10]

Дата:;;;;2018.02.06
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;300
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;0

Начало:;;;;10:41:05.164
Край:;;;;10:41:09.766
Продължителност:;;;;4.602

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;1928;1;1953;34;1955;34;;0;DE23E8A1;64128
1;9;0;1928;2;1973;47;1974;46;;0;DE23E8A1;64129
2;13;0;1928;3;1986;60;1986;59;;0;DE23E8A1;64130
3;22;0;1929;4;1993;73;1993;72;;0;DE23E8A1;64131
4;30;0;1929;5;2011;86;2012;85;;0;DE23E8A1;64132
5;38;0;1929;6;2017;98;2018;98;;0;DE23E8A1;64133
6;43;0;1929;7;2080;107;2080;106;;0;DE23E8A1;64134
7;52;0;1930;8;2246;133;2247;132;;0;DE23E8A1;64135
8;60;0;1930;9;2329;145;2330;144;;0;DE23E8A1;64136
9;68;0;1930;10;2422;158;2423;157;;0;DE23E8A1;64137
10;74;0;1930;11;2526;165;2527;164;;0;DE23E8A2;64138
11;79;0;1931;12;2557;167;2557;166;;0;DE23E8A2;64139
12;83;0;;0;;0;;0;1983;57;0;64140
13;87;0;;0;;0;;0;1984;58;0;64141
14;93;0;;0;;0;;0;1984;58;0;64142
15;97;0;1962;37;3274;160;3275;159;;0;DE23E8A3;64143
16;101;0;;0;;0;;0;1984;59;0;64144
17;110;0;1931;13;2590;168;2591;167;;0;DE23E8A2;64145
18;118;0;1937;14;2648;170;2648;169;;0;DE23E8A2;64146
19;124;0;1938;15;2671;170;2672;169;;0;DE23E8A2;64147
20;132;0;1963;38;3292;159;3292;158;;0;DE23E8A3;64148
21;136;0;;0;;0;;0;1985;60;0;64149
22;140;0;;0;;0;;0;1985;60;0;64150
23;144;0;;0;;0;;0;1985;60;0;64151
24;148;0;;0;;0;;0;1985;60;0;64152
25;152;0;;0;;0;;0;1985;60;0;64153
26;157;0;;0;;0;;0;1985;60;0;64154
27;165;0;1941;16;2688;169;2688;168;;0;DE23E8A2;64155
28;174;0;1944;17;2730;170;2731;169;;0;DE23E8A2;64156
29;178;0;1944;18;2752;170;2753;169;;0;DE23E8A2;64157
30;186;0;;0;;0;;0;1988;62;0;64158
31;191;0;1971;41;3360;156;3361;155;;0;DE23E8A3;64159
32;195;0;;0;;0;;0;1988;62;0;64160
33;199;0;1988;63;3606;132;3607;131;;0;DE23E8A3;64161
34;203;0;1988;64;3613;131;3614;130;;0;DE23E8A3;64162
35;207;0;;0;;0;;0;1989;64;0;64163
36;211;0;;0;;0;;0;1989;64;0;64164
37;216;0;1945;19;2778;172;2778;171;;0;DE23E8A2;64165
38;224;0;;0;;0;;0;1989;64;0;64166
39;233;0;1945;20;2836;173;2837;172;;0;DE23E8A3;64167
40;237;0;1950;21;2867;173;2868;173;;0;DE23E8A3;64168
41;246;0;;0;;0;;0;1989;64;0;64169
42;251;0;;0;;0;;0;1989;64;0;64170
43;255;0;;0;;0;;0;1989;64;0;64171
44;259;0;;0;;0;;0;1989;64;0;64172
45;263;0;;0;;0;;0;1989;64;0;64173
46;267;0;;0;;0;;0;1989;65;0;64174
47;272;0;;0;;0;;0;1989;65;0;64175
48;276;0;;0;;0;;0;1989;65;0;64176
49;280;0;1950;22;2898;174;2899;173;;0;DE23E8A3;64177
50;290;0;1951;23;2932;175;2933;174;;0;DE23E8A3;64178
51;298;0;1951;24;2945;174;2945;173;;0;DE23E8A3;64179
52;306;0;1973;47;3428;150;3428;149;;0;DE23E8A3;64180
53;311;0;;0;;0;;0;1990;66;0;64181
54;315;0;;0;;0;;0;1990;66;0;64182
55;319;0;;0;;0;;0;1990;66;0;64183
56;324;0;;0;;0;;0;1990;66;0;64184
57;329;0;1990;67;3649;128;3650;127;;0;DE23E8A3;64185
58;333;0;;0;;0;;0;1990;67;0;64186
59;339;0;1951;25;2960;173;2961;172;;0;DE23E8A3;64187
60;348;0;;0;;0;;0;1990;68;0;64190
61;357;0;1951;26;2996;172;2996;171;;0;DE23E8A3;64191
62;366;0;1952;27;3013;171;3013;170;;0;DE23E8A3;64192
63;372;0;;0;;0;;0;1990;69;0;64193
64;376;0;;0;;0;;0;1990;69;0;64194
65;381;0;;0;;0;;0;1991;69;0;64195
66;386;0;;0;;0;;0;1990;69;0;64196
67;391;0;;0;;0;;0;1991;69;0;64197
68;396;0;;0;;0;;0;1991;69;0;64198
69;401;0;1991;71;3673;124;3673;123;;0;DE23E8A3;64199
70;411;0;1952;28;3033;170;3034;169;;0;DE23E8A3;64200
71;416;0;1952;29;3053;169;3054;168;;0;DE23E8A3;64201
72;425;0;1952;30;3077;168;3078;167;;0;DE23E8A3;64202
73;434;0;;0;;0;;0;1991;72;0;64203
74;440;0;;0;;0;;0;1992;73;0;64204
75;445;0;;0;;0;;0;1993;73;0;64205
76;450;0;;0;;0;;0;1993;73;0;64206
77;456;0;1976;53;3499;143;3500;142;;0;DE23E8A3;64207
78;461;0;;0;;0;;0;1993;73;0;64208
79;467;0;1953;31;3103;167;3104;166;;0;DE23E8A3;64209
80;476;0;;0;;0;;0;1993;73;0;64210
81;483;0;1953;32;3126;166;3126;165;;0;DE23E8A3;64211
82;492;0;1953;33;3145;165;3146;164;;0;DE23E8A3;64212
83;503;0;;0;;0;;0;1999;75;0;64213
84;513;0;1953;34;3179;164;3180;163;;0;DE23E8A3;64214
85;519;0;1982;55;3516;141;3517;140;;0;DE23E8A3;64215
86;525;0;;0;;0;;0;1999;76;0;64216
87;531;0;;0;;0;;0;1999;76;0;64217
88;536;0;;0;;0;;0;1999;76;0;64218
89;542;0;;0;;0;;0;1999;76;0;64219
90;547;0;;0;;0;;0;1999;76;0;64220
91;558;0;1955;35;3199;163;3199;162;;0;DE23E8A3;64221
92;564;0;;0;;0;;0;1999;76;0;64222
93;574;0;1955;35;3220;162;3221;161;;0;DE23E8A3;64223
94;580;0;1961;36;3254;161;3255;160;;0;DE23E8A3;64224
95;590;0;1984;58;3541;138;3542;137;;0;DE23E8A3;64225
96;601;0;;0;;0;;0;2000;79;0;64226
97;607;0;;0;;0;;0;2000;79;0;64227
98;613;0;;0;;0;;0;2000;79;0;64228
99;618;0;;0;;0;;0;2000;79;0;64229
100;624;0;;0;;0;;0;2000;79;0;64230
101;629;0;;0;;0;;0;2000;79;0;64231
102;634;0;2000;80;3768;114;3769;113;;0;DE23E8A3;64232
103;643;0;;0;;0;;0;2000;80;0;64233
104;648;0;1966;39;3324;158;3325;157;;0;DE23E8A3;64234
105;657;0;1970;40;3342;157;3343;156;;0;DE23E8A3;64235
106;666;0;2001;82;3786;112;3787;111;;0;DE23E8A3;64236
107;671;0;;0;;0;;0;2002;82;0;64237
108;675;0;1987;61;3591;134;3592;133;;0;DE23E8A3;64238
109;679;0;;0;;0;;0;2002;82;0;64239
110;683;0;;0;;0;;0;2002;82;0;64240
111;688;0;;0;;0;;0;2002;82;0;64241
112;692;0;;0;;0;;0;2003;82;0;64242
113;696;0;;0;;0;;0;2003;82;0;64243
114;705;0;;0;;0;;0;2003;83;0;64244
115;710;0;1972;42;3377;155;3378;154;;0;DE23E8A3;64245
116;719;0;1972;43;3385;154;3386;153;;0;DE23E8A3;64246
117;728;0;;0;;0;;0;2004;84;0;64247
118;733;0;;0;;0;;0;2005;85;0;64248
119;738;0;;0;;0;;0;2005;85;0;64249
120;743;0;;0;;0;;0;2005;85;0;64250
121;747;0;;0;;0;;0;2011;86;0;64251
122;752;0;;0;;0;;0;2011;86;0;64252
123;758;0;;0;;0;;0;2011;86;0;64253
124;764;0;;0;;0;;0;2011;86;0;64254
125;769;0;1973;44;3396;153;3397;152;;0;DE23E8A3;64255
126;779;0;1973;45;3404;152;3404;151;;0;DE23E8A3;64256
127;790;0;;0;;0;;0;2013;86;0;64257
128;800;0;1973;46;3413;151;3414;150;;0;DE23E8A3;64258
129;811;0;;0;;0;;0;2013;87;0;64259
130;816;0;;0;;0;;0;2014;88;0;64260
131;822;0;;0;;0;;0;2014;88;0;64261
132;828;0;;0;;0;;0;2014;89;0;64262
133;833;0;;0;;0;;0;2014;89;0;64263
134;837;0;;0;;0;;0;2014;89;0;64264
135;842;0;1990;68;3656;127;3657;126;;0;DE23E8A3;64265
136;847;0;;0;;0;;0;2014;89;0;64266
137;852;0;1974;47;3434;149;3435;148;;0;DE23E8A3;64267
138;862;0;;0;;0;;0;2014;89;0;64268
139;871;0;1974;48;3451;148;3451;147;;0;DE23E8A3;64269
140;876;0;1974;49;3469;147;3470;146;;0;DE23E8A3;64270
141;885;0;1975;50;3476;146;3476;145;;0;DE23E8A3;64271
142;894;0;1991;70;3669;125;3670;124;;0;DE23E8A3;64272
143;899;0;;0;;0;;0;2015;92;0;64273
144;904;0;;0;;0;;0;2015;92;0;64274
145;908;0;;0;;0;;0;2015;92;0;64275
146;912;0;;0;;0;;0;2015;92;0;64276
147;916;0;;0;;0;;0;2015;92;0;64277
148;921;0;;0;;0;;0;2015;92;0;64278
149;925;0;;0;;0;;0;2015;92;0;64279
150;933;0;1975;51;3483;145;3484;144;;0;DE23E8A3;64280
151;940;0;1975;52;3486;144;3488;143;;0;DE23E8A3;64281
152;949;0;2016;94;3910;99;3911;98;;0;DE23E8A4;64282
153;960;0;2016;95;3923;98;3924;97;;0;DE23E8A4;64283
154;966;0;;0;;0;;0;2017;97;0;64284
155;973;0;2017;98;3942;95;3943;94;;0;DE23E8A4;64285
156;978;0;1998;73;3696;121;3697;120;;0;DE23E8A3;64286
157;983;0;;0;;0;;0;2017;98;0;64287
158;989;0;;0;;0;;0;2017;98;0;64288
159;994;0;2018;99;3946;94;3946;93;;0;DE23E8A4;64289
160;999;0;1976;54;3508;142;3509;141;;0;DE23E8A3;64290
161;1010;0;2018;99;3955;93;3956;92;;0;DE23E8A4;64291
162;1020;0;1999;76;3717;118;3718;117;;0;DE23E8A3;64292
163;1026;0;1983;56;3524;140;3525;139;;0;DE23E8A3;64293
164;1036;0;;0;;0;;0;2038;100;0;64294
165;1043;0;2045;101;3969;91;3971;90;;0;DE23E8A4;64295
166;1049;0;2052;104;3990;88;3990;87;;0;DE23E8A4;64296
167;1054;0;;0;;0;;0;2055;104;0;64297
168;1060;0;;0;;0;;0;2064;104;0;64298
169;1065;0;2071;105;3993;87;3993;86;;0;DE23E8A4;64299
170;1071;0;2076;107;4012;85;4013;84;;0;DE23E8A4;64300
171;1081;0;1983;57;3532;139;3534;138;;0;DE23E8A3;64301
172;1088;0;2091;107;4021;84;4021;83;;0;DE23E8A4;64302
173;1098;0;2100;108;4029;83;4029;82;;0;DE23E8A4;64303
174;1104;0;1984;59;3562;137;3563;136;;0;DE23E8A3;64304
175;1115;0;2118;111;4051;80;4052;79;;0;DE23E8A4;64305
176;1121;0;1985;60;3570;136;3571;135;;0;DE23E8A3;64306
177;1131;0;2143;115;4077;76;4078;75;;0;DE23E8A4;64307
178;1136;0;;0;;0;;0;2143;115;0;64308
