ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР;;;;;;;;;;;;
;;;;;;;;;;;;
Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.10];;;;;;;;
;;;;;;;;;;;;
Дата:;;;;24.1.2018;;;;;;;;
IP адрес сървър:;;;;127.0.0.1;;;;;;;;
IP адрес клиент:;;;;;;;;;;;;
Обем на пакета:;;;;100;;;;;;;;
Режим на формиране на заявките:;;;;Consecutive;;;;;;;;
Задръжка до разпадане:;;;;0;;;;;;;;
;;;;;;;;;;;;
Начало:;;;;12:55:01.100;;;;;;;;
Край:;;;;12:55:04.858;;;;;;;;
Продължителност:;;;;3.758;;;;;;;;
;;;;;;;;;;;;
;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
72;2515;10;2516;11;2651;9;2652;8;;0;DE12E487;57493
73;2519;11;2520;12;2656;8;2657;7;;0;DE12E487;57494
74;2527;12;2528;13;2659;7;2660;6;;0;DE12E487;57495
75;2533;13;2536;14;2665;6;2665;5;;0;DE12E487;57496
76;2538;14;2539;15;2667;5;2667;4;;0;DE12E487;57497
77;2541;15;2541;16;2673;4;2673;3;;0;DE12E487;57498
78;2545;16;2546;17;2675;3;2675;2;;0;DE12E487;57499
79;2550;17;2552;18;2681;2;2682;1;;0;DE12E487;57500
80;2554;18;2555;19;2683;1;2684;0;;0;DE12E487;57501
81;2557;19;3059;1;3204;16;3205;15;;0;DE12E488;57502
82;3070;1;3071;2;3221;15;3222;14;;0;DE12E488;57503
83;3082;2;3083;3;3233;14;3234;13;;0;DE12E488;57504
84;3093;3;3095;4;3251;13;3252;12;;0;DE12E488;57505
85;3105;4;3106;5;3258;12;3259;11;;0;DE12E488;57506
86;3110;5;3111;6;3263;11;3263;10;;0;DE12E488;57507
87;3115;6;3115;7;3265;10;3266;9;;0;DE12E488;57508
88;3119;7;3123;8;3276;9;3277;8;;0;DE12E488;57509
89;3129;8;3130;9;3283;8;3284;7;;0;DE12E488;57510
90;3136;9;3139;10;3286;7;3287;6;;0;DE12E488;57511
91;3144;10;3145;11;3293;6;3293;5;;0;DE12E488;57512
92;3149;11;3149;12;3296;5;3297;4;;0;DE12E488;57513
93;3153;12;3157;13;3304;4;3305;3;;0;DE12E488;57514
94;3163;13;3164;14;3308;3;3309;2;;0;DE12E488;57515
95;3171;14;3172;15;3311;2;3311;1;;0;DE12E488;57516
96;3176;15;3177;16;3321;1;3322;0;;0;DE12E488;57517
97;3181;16;3683;1;3736;3;3738;2;;0;DE12E488;57518
98;3693;1;3694;2;3751;2;3753;1;;0;DE12E488;57532
99;3703;2;3704;3;3757;1;3758;0;;0;DE12E488;57533
