ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.16][Dynamic][Lambda]

Дата:;;;;2018.03.02
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;20
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;1000

Tsyn:;;;;13:19:32.956
T0:;;;;13:19:32.988
Tend:;;;;13:19:34.004
T0 - Tsyn:;;;;0,032
Tend - T0:;;;;1,016
Tend - Tsyn:;;;;1,048

P:;;;;19,0
ERR:;;;;0

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;32;1;33;2;1034;19;;0;DE43B1C4;63060
1;1;0;32;2;33;3;1035;17;;0;DE43B1C4;63061
2;2;0;33;3;34;4;1035;18;;0;DE43B1C4;63062
3;4;0;33;4;34;5;1036;16;;0;DE43B1C4;63063
4;5;0;34;5;34;6;1036;15;;0;DE43B1C4;63064
5;6;0;34;6;35;7;1038;13;;0;DE43B1C4;63065
6;7;0;35;7;35;8;1037;14;;0;DE43B1C4;63066
7;8;0;35;8;36;10;1039;11;;0;DE43B1C4;63067
8;10;0;36;9;37;11;1041;9;;0;DE43B1C4;63068
9;11;0;36;10;37;13;1039;12;;0;DE43B1C4;63069
10;13;0;36;11;38;14;1044;6;;0;DE43B1C4;63070
11;14;0;37;12;38;15;1042;8;;0;DE43B1C4;63071
12;16;0;37;13;39;16;1040;10;;0;DE43B1C4;63072
13;17;0;38;14;39;17;1047;2;;0;DE43B1C4;63073
14;18;0;38;15;39;17;1046;5;;0;DE43B1C4;63074
15;20;0;38;16;40;19;1043;7;;0;DE43B1C4;63075
16;22;0;39;17;40;19;1048;0;;0;DE43B1C4;63076
17;23;0;39;18;40;20;1047;4;;0;DE43B1C4;63077
18;25;0;40;19;41;20;1047;3;;0;DE43B1C4;63078
19;26;0;40;20;41;20;1048;1;;0;DE43B1C4;63079
