ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.16][Dynamic][Lambda]

Дата:;;;;2018.03.02
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;30
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;1000

Tsyn:;;;;13:19:59.568
T0:;;;;13:19:59.613
Tend:;;;;13:20:00.641
T0 - Tsyn:;;;;0,045
Tend - T0:;;;;1,028
Tend - Tsyn:;;;;1,073

P:;;;;28,0
ERR:;;;;0

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;45;1;46;2;1046;29;;0;DE43B1DF;63256
1;1;0;46;2;46;3;1047;27;;0;DE43B1DF;63257
2;3;0;46;3;47;4;1047;28;;0;DE43B1DF;63258
3;4;0;47;4;47;5;1049;25;;0;DE43B1DF;63259
4;6;0;47;5;48;6;1048;26;;0;DE43B1DF;63260
5;7;0;48;6;48;7;1050;23;;0;DE43B1DF;63261
6;9;0;48;7;49;8;1049;24;;0;DE43B1DF;63262
7;11;0;48;8;49;10;1050;22;;0;DE43B1DF;63263
8;12;0;49;9;50;11;1051;21;;0;DE43B1DF;63264
9;13;0;49;10;50;12;1051;19;;0;DE43B1DF;63265
10;15;0;50;11;51;13;1051;20;;0;DE43B1DF;63266
11;16;0;50;12;51;14;1056;17;;0;DE43B1DF;63267
12;18;0;51;13;52;15;1052;18;;0;DE43B1DF;63268
13;19;0;51;14;52;16;1058;15;;0;DE43B1DF;63269
14;21;0;51;15;53;18;1059;14;;0;DE43B1DF;63270
15;22;0;52;16;53;18;1057;16;;0;DE43B1DF;63271
16;23;0;52;17;54;19;1062;11;;0;DE43B1DF;63272
17;25;0;53;18;55;20;1071;1;;0;DE43B1DF;63273
18;26;0;54;19;55;21;1062;12;;0;DE43B1DF;63274
19;28;0;54;20;55;22;1061;13;;0;DE43B1DF;63275
20;29;0;55;21;56;23;1064;9;;0;DE43B1DF;63276
21;31;0;55;22;56;24;1065;8;;0;DE43B1DF;63277
22;32;0;56;23;57;25;1063;10;;0;DE43B1DF;63278
23;33;0;56;24;57;26;1067;4;;0;DE43B1DF;63279
24;34;0;57;25;58;27;1065;7;;0;DE43B1DF;63280
25;35;0;57;26;58;28;1066;6;;0;DE43B1DF;63281
26;37;0;57;27;59;29;1067;5;;0;DE43B1DF;63282
27;38;0;58;28;59;30;1069;3;;0;DE43B1DF;63283
28;39;0;58;29;59;30;1073;0;;0;DE43B1DF;63284
29;40;0;59;30;60;30;1069;2;;0;DE43B1DF;63285
