ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.16][Dynamic][Lambda]

Дата:;;;;2018.03.02
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;70
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;1000

Tsyn:;;;;13:22:09.095
T0:;;;;13:22:09.204
Tend:;;;;13:22:10.238
T0 - Tsyn:;;;;0,109
Tend - T0:;;;;1,034
Tend - Tsyn:;;;;1,143

P:;;;;61,0
ERR:;;;;0

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;109;1;110;2;1111;68;;0;DE43B261;64314
1;2;0;110;2;110;3;1111;69;;0;DE43B261;64315
2;4;0;110;3;111;4;1112;67;;0;DE43B261;64316
3;5;0;110;4;111;5;1116;59;;0;DE43B261;64317
4;7;0;111;5;111;6;1116;61;;0;DE43B261;64318
5;8;0;111;6;112;7;1113;66;;0;DE43B261;64319
6;10;0;112;7;112;8;1113;65;;0;DE43B261;64320
7;11;0;112;8;113;9;1114;63;;0;DE43B261;64321
8;13;0;113;9;113;11;1114;64;;0;DE43B261;64322
9;14;0;113;10;114;12;1115;62;;0;DE43B261;64323
10;15;0;113;11;114;13;1116;60;;0;DE43B261;64324
11;17;0;113;12;114;14;1117;58;;0;DE43B261;64325
12;19;0;114;13;115;15;1118;55;;0;DE43B261;64326
13;21;0;114;14;115;16;1125;44;;0;DE43B261;64327
14;22;0;114;15;115;17;1117;57;;0;DE43B261;64328
15;24;0;115;16;116;18;1120;51;;0;DE43B261;64329
16;26;0;115;17;116;19;1118;56;;0;DE43B261;64330
17;28;0;116;18;116;20;1119;54;;0;DE43B261;64331
18;29;0;116;19;117;21;1129;42;;0;DE43B261;64332
19;31;0;116;20;117;22;1119;53;;0;DE43B261;64333
20;32;0;117;21;118;23;1129;41;;0;DE43B261;64334
21;34;0;117;22;118;24;1119;52;;0;DE43B261;64335
22;36;0;117;23;118;25;1130;39;;0;DE43B261;64336
23;38;0;118;24;119;26;1120;49;;0;DE43B261;64337
24;39;0;118;25;119;27;1120;50;;0;DE43B261;64338
25;41;0;118;26;119;28;1130;40;;0;DE43B261;64339
26;43;0;119;27;120;29;1122;47;;0;DE43B261;64340
27;44;0;119;28;120;30;1121;48;;0;DE43B261;64341
28;46;0;119;29;120;31;1131;38;;0;DE43B261;64342
29;47;0;120;30;121;32;1122;46;;0;DE43B261;64343
30;49;0;120;31;121;32;1123;45;;0;DE43B261;64344
31;51;0;121;32;121;34;1128;43;;0;DE43B261;64345
32;52;0;121;33;122;35;1132;36;;0;DE43B261;64346
33;54;0;121;34;122;35;1131;37;;0;DE43B261;64347
34;55;0;122;35;123;37;1133;32;;0;DE43B261;64348
35;57;0;122;36;123;38;1132;35;;0;DE43B261;64349
36;58;0;122;37;123;38;1133;34;;0;DE43B261;64350
37;60;0;123;38;123;39;1133;33;;0;DE43B261;64351
38;62;0;123;39;124;40;1134;31;;0;DE43B261;64352
39;63;0;124;40;124;41;1134;30;;0;DE43B261;64353
40;64;0;124;41;124;42;1134;29;;0;DE43B261;64354
41;66;0;124;42;125;44;1136;21;;0;DE43B261;64355
42;68;0;125;43;126;45;1135;27;;0;DE43B261;64356
43;69;0;125;44;126;46;1135;26;;0;DE43B261;64357
44;71;0;125;45;126;47;1135;28;;0;DE43B261;64358
45;73;0;126;46;127;48;1136;23;;0;DE43B261;64359
46;74;0;126;47;127;49;1135;24;;0;DE43B261;64360
47;76;0;126;48;127;50;1135;25;;0;DE43B261;64361
48;77;0;127;49;127;50;1137;20;;0;DE43B261;64362
49;78;0;127;50;128;51;1137;19;;0;DE43B261;64363
50;80;0;128;51;128;52;1136;22;;0;DE43B261;64364
51;81;0;128;52;129;53;1137;18;;0;DE43B261;64365
52;82;0;128;53;129;55;1137;17;;0;DE43B261;64366
53;83;0;129;54;130;56;1138;15;;0;DE43B261;64367
54;85;0;129;55;130;57;1138;16;;0;DE43B261;64368
55;86;0;129;56;130;57;1138;14;;0;DE43B261;64369
56;88;0;130;57;131;59;1139;13;;0;DE43B261;64370
57;89;0;130;58;131;60;1139;12;;0;DE43B261;64371
58;91;0;131;59;131;61;1139;11;;0;DE43B261;64372
59;92;0;131;60;132;62;1140;10;;0;DE43B261;64373
60;93;0;131;61;132;63;1140;9;;0;DE43B261;64374
61;95;0;132;62;132;63;1141;7;;0;DE43B261;64375
62;96;0;132;63;133;64;1141;8;;0;DE43B261;64376
63;97;0;133;64;133;66;1142;5;;0;DE43B261;64377
64;99;0;133;65;134;66;1142;4;;0;DE43B261;64378
65;100;0;133;66;134;67;1142;6;;0;DE43B261;64379
66;101;0;134;67;135;69;1143;3;;0;DE43B261;64380
67;102;0;134;68;135;70;1143;2;;0;DE43B261;64381
68;103;0;134;69;135;70;1143;1;;0;DE43B261;64382
69;105;0;135;70;135;70;1143;0;;0;DE43B261;64383
