ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.16][Dynamic][Lambda]

Дата:;;;;2018.03.02
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;80
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;1000

Tsyn:;;;;13:22:57.417
T0:;;;;13:22:57.528
Tend:;;;;13:22:58.567
T0 - Tsyn:;;;;0,111
Tend - T0:;;;;1,039
Tend - Tsyn:;;;;1,150

P:;;;;70,0
ERR:;;;;0

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;111;1;111;2;1113;78;;0;DE43B291;64714
1;2;0;111;2;112;3;1113;79;;0;DE43B291;64715
2;3;0;112;3;112;4;1114;77;;0;DE43B291;64716
3;5;0;112;4;113;5;1115;75;;0;DE43B291;64717
4;7;0;113;5;113;6;1115;76;;0;DE43B291;64718
5;8;0;113;6;114;7;1116;74;;0;DE43B291;64719
6;9;0;114;7;114;8;1121;72;;0;DE43B291;64720
7;10;0;114;8;115;9;1119;73;;0;DE43B291;64721
8;12;0;115;9;115;10;1127;66;;0;DE43B291;64722
9;13;0;115;10;116;11;1122;71;;0;DE43B291;64723
10;14;0;115;11;116;12;1126;67;;0;DE43B291;64724
11;16;0;116;12;117;13;1123;70;;0;DE43B291;64725
12;18;0;116;13;117;14;1124;69;;0;DE43B291;64726
13;19;0;117;14;118;15;1129;63;;0;DE43B291;64727
14;20;0;117;15;118;16;1125;68;;0;DE43B291;64728
15;22;0;118;16;119;18;1127;65;;0;DE43B291;64729
16;23;0;118;17;120;19;1130;62;;0;DE43B291;64730
17;24;0;119;18;120;20;1129;64;;0;DE43B291;64731
18;26;0;119;19;120;21;1130;61;;0;DE43B291;64732
19;28;0;120;20;121;22;1131;60;;0;DE43B291;64733
20;29;0;120;21;121;23;1132;59;;0;DE43B291;64734
21;31;0;121;22;122;24;1134;57;;0;DE43B291;64735
22;32;0;121;23;122;25;1133;58;;0;DE43B291;64736
23;33;0;121;24;122;26;1136;54;;0;DE43B291;64737
24;35;0;122;25;123;27;1136;53;;0;DE43B291;64738
25;36;0;122;26;123;28;1135;56;;0;DE43B291;64739
26;37;0;123;27;124;29;1135;55;;0;DE43B291;64740
27;39;0;123;28;124;30;1137;51;;0;DE43B291;64741
28;40;0;124;29;125;31;1136;52;;0;DE43B291;64742
29;42;0;124;30;125;32;1137;48;;0;DE43B291;64743
30;43;0;124;31;125;33;1137;50;;0;DE43B291;64744
31;44;0;125;32;126;34;1137;49;;0;DE43B291;64745
32;45;0;125;33;126;35;1138;45;;0;DE43B291;64746
33;47;0;125;34;126;36;1137;47;;0;DE43B291;64747
34;48;0;126;35;127;37;1138;46;;0;DE43B291;64748
35;49;0;126;36;127;38;1139;43;;0;DE43B291;64749
36;51;0;126;37;127;39;1138;44;;0;DE43B291;64750
37;52;0;127;38;128;40;1139;41;;0;DE43B291;64751
38;53;0;127;39;128;41;1141;36;;0;DE43B291;64752
39;55;0;127;40;128;42;1140;38;;0;DE43B291;64753
40;56;0;128;41;129;43;1139;42;;0;DE43B291;64754
41;57;0;128;42;129;44;1139;40;;0;DE43B291;64755
42;59;0;128;43;129;45;1140;39;;0;DE43B291;64756
43;60;0;129;44;130;46;1140;37;;0;DE43B291;64757
44;61;0;129;45;130;47;1141;33;;0;DE43B291;64758
45;62;0;129;46;130;48;1141;34;;0;DE43B291;64759
46;64;0;130;47;131;49;1141;35;;0;DE43B291;64760
47;65;0;130;48;131;49;1141;32;;0;DE43B291;64761
48;66;0;130;49;131;50;1142;29;;0;DE43B291;64762
49;68;0;131;50;131;51;1142;30;;0;DE43B291;64763
50;69;0;131;51;132;52;1142;31;;0;DE43B291;64764
51;70;0;132;52;132;54;1143;28;;0;DE43B291;64765
52;71;0;132;53;133;55;1143;25;;0;DE43B291;64766
53;72;0;132;54;133;56;1143;26;;0;DE43B291;64767
54;74;0;133;55;134;57;1143;27;;0;DE43B291;64768
55;75;0;133;56;134;58;1144;22;;0;DE43B291;64769
56;76;0;134;57;135;59;1144;24;;0;DE43B291;64770
57;78;0;134;58;135;60;1145;20;;0;DE43B291;64771
58;79;0;134;59;135;61;1145;21;;0;DE43B291;64772
59;80;0;135;60;136;62;1144;23;;0;DE43B291;64773
60;81;0;135;61;136;63;1145;18;;0;DE43B291;64774
61;83;0;135;62;136;64;1145;17;;0;DE43B291;64775
62;84;0;136;63;137;65;1145;19;;0;DE43B291;64776
63;85;0;136;64;137;66;1146;14;;0;DE43B291;64777
64;86;0;136;65;137;67;1146;15;;0;DE43B291;64778
65;87;0;137;66;138;68;1146;16;;0;DE43B291;64779
66;89;0;137;67;138;70;1146;13;;0;DE43B291;64780
67;90;0;137;68;139;71;1147;12;;0;DE43B291;64781
68;91;0;138;69;139;72;1147;11;;0;DE43B291;64782
69;93;0;138;70;139;73;1148;7;;0;DE43B291;64783
70;94;0;138;71;140;74;1147;10;;0;DE43B291;64784
71;95;0;139;72;140;75;1148;8;;0;DE43B291;64785
72;97;0;139;73;140;76;1148;6;;0;DE43B291;64786
73;98;0;140;74;141;77;1147;9;;0;DE43B291;64787
74;99;0;140;75;141;78;1148;5;;0;DE43B291;64788
75;101;0;140;76;142;79;1149;4;;0;DE43B291;64789
76;102;0;141;77;142;80;1149;3;;0;DE43B291;64790
77;104;0;141;78;142;80;1150;0;;0;DE43B291;64791
78;105;0;141;79;142;80;1149;2;;0;DE43B291;64792
79;106;0;142;80;142;80;1149;1;;0;DE43B291;64793
