ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.16][Dynamic][Lambda]

Дата:;;;;2018.03.02
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;50
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;1000

Tsyn:;;;;13:20:57.791
T0:;;;;13:20:57.869
Tend:;;;;13:20:58.911
T0 - Tsyn:;;;;0,078
Tend - T0:;;;;1,042
Tend - Tsyn:;;;;1,120

P:;;;;45,0
ERR:;;;;0

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;78;1;79;2;1080;48;;0;DE43B219;63725
1;2;0;79;2;79;3;1080;48;;0;DE43B219;63726
2;3;0;79;3;80;4;1084;45;;0;DE43B219;63727
3;5;0;80;4;80;5;1081;47;;0;DE43B219;63728
4;6;0;80;5;80;6;1082;46;;0;DE43B219;63729
5;7;0;80;6;81;7;1086;44;;0;DE43B219;63730
6;8;0;81;7;81;8;1089;41;;0;DE43B219;63731
7;9;0;81;8;82;9;1086;43;;0;DE43B219;63732
8;11;0;82;9;82;10;1088;42;;0;DE43B219;63733
9;12;0;82;10;83;12;1092;39;;0;DE43B219;63734
10;13;0;82;11;83;13;1091;40;;0;DE43B219;63735
11;14;0;83;12;84;14;1093;38;;0;DE43B219;63736
12;17;0;83;13;84;15;1094;36;;0;DE43B219;63737
13;19;0;83;14;84;16;1096;35;;0;DE43B219;63738
14;20;0;84;15;85;17;1094;37;;0;DE43B219;63739
15;22;0;84;16;85;18;1097;32;;0;DE43B219;63740
16;23;0;85;17;86;19;1096;33;;0;DE43B219;63741
17;25;0;85;18;86;20;1099;30;;0;DE43B219;63742
18;26;0;86;19;86;20;1096;34;;0;DE43B219;63743
19;28;0;86;20;87;22;1098;31;;0;DE43B219;63744
20;29;0;87;21;87;23;1101;28;;0;DE43B219;63745
21;31;0;87;22;88;24;1102;24;;0;DE43B219;63746
22;32;0;87;23;88;25;1102;25;;0;DE43B219;63747
23;34;0;87;24;88;26;1100;29;;0;DE43B219;63748
24;36;0;88;25;89;27;1102;26;;0;DE43B219;63749
25;37;0;88;26;89;27;1101;27;;0;DE43B219;63750
26;39;0;89;27;89;28;1103;23;;0;DE43B219;63751
27;41;0;89;28;90;30;1103;22;;0;DE43B219;63752
28;43;0;90;29;90;31;1109;16;;0;DE43B219;63753
29;45;0;90;30;91;32;1105;20;;0;DE43B219;63754
30;46;0;90;31;91;33;1105;21;;0;DE43B219;63755
31;48;0;91;32;92;34;1107;18;;0;DE43B219;63756
32;49;0;91;33;92;35;1107;17;;0;DE43B219;63757
33;50;0;92;34;93;36;1106;19;;0;DE43B219;63758
34;52;0;92;35;93;38;1110;14;;0;DE43B219;63759
35;53;0;92;36;93;39;1110;15;;0;DE43B219;63760
36;54;0;93;37;94;40;1112;12;;0;DE43B219;63761
37;56;0;93;38;94;41;1111;13;;0;DE43B219;63762
38;57;0;93;39;95;43;1113;11;;0;DE43B219;63763
39;58;0;94;40;95;44;1114;10;;0;DE43B219;63764
40;59;0;94;41;96;45;1114;9;;0;DE43B219;63765
41;61;0;94;42;96;46;1116;8;;0;DE43B219;63766
42;62;0;95;43;96;47;1117;7;;0;DE43B219;63767
43;64;0;95;44;97;48;1117;6;;0;DE43B219;63768
44;66;0;95;45;97;49;1120;2;;0;DE43B219;63769
45;68;0;96;46;98;50;1119;3;;0;DE43B219;63770
46;69;0;96;47;98;50;1120;0;;0;DE43B219;63771
47;70;0;97;48;98;50;1118;5;;0;DE43B219;63772
48;71;0;97;49;98;50;1120;1;;0;DE43B219;63773
49;73;0;97;50;98;50;1118;4;;0;DE43B219;63774
