ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.16][Dynamic][Lambda]

Дата:;;;;2018.03.02
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;60
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;1000

Tsyn:;;;;13:21:43.735
T0:;;;;13:21:43.825
Tend:;;;;13:21:44.852
T0 - Tsyn:;;;;0,090
Tend - T0:;;;;1,027
Tend - Tsyn:;;;;1,117

P:;;;;54,0
ERR:;;;;0

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;90;1;91;2;1092;59;;0;DE43B247;64079
1;1;0;91;2;91;3;1093;56;;0;DE43B247;64080
2;3;0;91;3;92;4;1093;57;;0;DE43B247;64081
3;5;0;92;4;92;5;1093;58;;0;DE43B247;64082
4;6;0;92;5;93;6;1095;54;;0;DE43B247;64083
5;8;0;92;6;93;8;1094;55;;0;DE43B247;64084
6;9;0;93;7;94;9;1097;52;;0;DE43B247;64085
7;11;0;93;8;94;10;1096;53;;0;DE43B247;64086
8;12;0;93;9;95;11;1097;51;;0;DE43B247;64087
9;14;0;94;10;95;12;1098;49;;0;DE43B247;64088
10;15;0;94;11;95;13;1098;48;;0;DE43B247;64089
11;17;0;95;12;96;14;1098;50;;0;DE43B247;64090
12;18;0;95;13;97;15;1099;46;;0;DE43B247;64091
13;20;0;96;14;97;16;1099;47;;0;DE43B247;64092
14;21;0;96;15;98;17;1099;44;;0;DE43B247;64093
15;23;0;97;16;98;18;1099;45;;0;DE43B247;64094
16;25;0;97;17;98;19;1100;43;;0;DE43B247;64095
17;26;0;98;18;99;20;1100;42;;0;DE43B247;64096
18;28;0;98;19;99;21;1101;40;;0;DE43B247;64097
19;30;0;99;20;100;22;1101;41;;0;DE43B247;64098
20;31;0;99;21;100;23;1102;38;;0;DE43B247;64099
21;33;0;100;22;101;24;1102;37;;0;DE43B247;64100
22;34;0;100;23;101;25;1102;39;;0;DE43B247;64101
23;36;0;101;24;102;26;1103;36;;0;DE43B247;64102
24;37;0;101;25;102;27;1103;35;;0;DE43B247;64103
25;39;0;102;26;103;28;1104;34;;0;DE43B247;64104
26;40;0;102;27;103;29;1104;33;;0;DE43B247;64105
27;41;0;102;28;104;30;1105;32;;0;DE43B247;64106
28;43;0;103;29;104;31;1105;31;;0;DE43B247;64107
29;44;0;103;30;105;32;1106;29;;0;DE43B247;64108
30;46;0;104;31;105;33;1106;30;;0;DE43B247;64109
31;47;0;104;32;105;34;1107;26;;0;DE43B247;64110
32;48;0;105;33;106;34;1107;28;;0;DE43B247;64111
33;50;0;105;34;106;35;1107;27;;0;DE43B247;64112
34;51;0;106;35;107;36;1108;24;;0;DE43B247;64113
35;52;0;106;36;107;37;1108;25;;0;DE43B247;64114
36;54;0;107;37;108;39;1109;22;;0;DE43B247;64115
37;55;0;107;38;108;40;1109;23;;0;DE43B247;64116
38;57;0;107;39;108;41;1110;19;;0;DE43B247;64117
39;58;0;108;40;109;42;1110;21;;0;DE43B247;64118
40;59;0;108;41;109;43;1110;20;;0;DE43B247;64119
41;61;0;109;42;110;44;1111;17;;0;DE43B247;64120
42;62;0;109;43;110;45;1111;16;;0;DE43B247;64121
43;63;0;109;44;110;46;1111;18;;0;DE43B247;64122
44;65;0;110;45;111;47;1112;14;;0;DE43B247;64123
45;66;0;110;46;111;48;1112;15;;0;DE43B247;64124
46;67;0;111;47;112;49;1113;13;;0;DE43B247;64125
47;69;0;111;48;112;50;1113;12;;0;DE43B247;64126
48;70;0;111;49;112;50;1113;11;;0;DE43B247;64127
49;71;0;112;50;113;52;1114;9;;0;DE43B247;64128
50;73;0;112;51;113;53;1114;10;;0;DE43B247;64129
51;74;0;113;52;114;54;1115;7;;0;DE43B247;64130
52;75;0;113;53;114;55;1115;8;;0;DE43B247;64131
53;77;0;113;54;114;56;1116;5;;0;DE43B247;64132
54;78;0;114;55;115;57;1116;6;;0;DE43B247;64133
55;80;0;114;56;115;58;1116;4;;0;DE43B247;64134
56;81;0;115;57;116;59;1117;0;;0;DE43B247;64135
57;83;0;115;58;116;60;1117;3;;0;DE43B247;64136
58;84;0;115;59;116;60;1117;1;;0;DE43B247;64137
59;85;0;116;60;116;60;1117;2;;0;DE43B247;64138
