ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.16][Dynamic][Lambda]

Дата:;;;;2018.03.02
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;90
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;1000

Tsyn:;;;;13:23:24.317
T0:;;;;13:23:24.435
Tend:;;;;13:23:25.477
T0 - Tsyn:;;;;0,118
Tend - T0:;;;;1,042
Tend - Tsyn:;;;;1,160

P:;;;;78,0
ERR:;;;;0

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;118;1;119;2;1120;89;;0;DE43B2AC;64992
1;2;0;118;2;119;3;1121;87;;0;DE43B2AC;64993
2;3;0;119;3;119;4;1121;88;;0;DE43B2AC;64994
3;4;0;119;4;120;6;1122;86;;0;DE43B2AC;64995
4;5;0;120;5;120;7;1122;85;;0;DE43B2AC;64996
5;7;0;120;6;121;8;1152;38;;0;DE43B2AC;64997
6;9;0;120;7;121;9;1126;83;;0;DE43B2AC;64998
7;11;0;120;8;121;10;1126;82;;0;DE43B2AC;64999
8;12;0;121;9;122;11;1123;84;;0;DE43B2AC;65001
9;14;0;121;10;122;12;1128;81;;0;DE43B2AC;65002
10;15;0;121;11;122;13;1153;32;;0;DE43B2AC;65003
11;17;0;122;12;123;14;1143;65;;0;DE43B2AC;65004
12;18;0;122;13;123;15;1130;79;;0;DE43B2AC;65005
13;19;0;123;14;123;16;1153;33;;0;DE43B2AC;65006
14;20;0;123;15;124;18;1153;35;;0;DE43B2AC;65007
15;22;0;123;16;124;19;1130;80;;0;DE43B2AC;65008
16;23;0;124;17;125;20;1156;20;;0;DE43B2AC;65009
17;24;0;124;18;125;21;1131;78;;0;DE43B2AC;65010
18;25;0;124;19;125;22;1153;34;;0;DE43B2AC;65011
19;27;0;124;20;126;23;1132;77;;0;DE43B2AC;65012
20;28;0;125;21;126;24;1135;74;;0;DE43B2AC;65013
21;29;0;125;22;126;25;1133;76;;0;DE43B2AC;65014
22;30;0;125;23;126;26;1135;75;;0;DE43B2AC;65015
23;32;0;126;24;127;27;1137;71;;0;DE43B2AC;65016
24;33;0;126;25;127;28;1137;72;;0;DE43B2AC;65017
25;34;0;126;26;128;29;1136;73;;0;DE43B2AC;65018
26;35;0;127;27;128;30;1139;69;;0;DE43B2AC;65019
27;37;0;127;28;128;31;1138;70;;0;DE43B2AC;65020
28;38;0;128;29;129;32;1141;67;;0;DE43B2AC;65021
29;39;0;128;30;129;33;1144;64;;0;DE43B2AC;65022
30;40;0;128;31;129;34;1140;68;;0;DE43B2AC;65023
31;42;0;129;32;130;35;1142;66;;0;DE43B2AC;65024
32;43;0;129;33;130;36;1146;61;;0;DE43B2AC;65025
33;44;0;129;34;130;37;1146;62;;0;DE43B2AC;65026
34;45;0;130;35;131;38;1144;63;;0;DE43B2AC;65027
35;47;0;130;36;131;39;1147;59;;0;DE43B2AC;65028
36;48;0;130;37;131;40;1147;58;;0;DE43B2AC;65029
37;49;0;130;38;132;41;1154;29;;0;DE43B2AC;65030
38;50;0;131;39;132;42;1147;60;;0;DE43B2AC;65031
39;51;0;131;40;132;42;1148;57;;0;DE43B2AC;65032
40;53;0;131;41;132;44;1148;56;;0;DE43B2AC;65033
41;54;0;132;42;133;45;1154;28;;0;DE43B2AC;65034
42;55;0;132;43;133;45;1149;54;;0;DE43B2AC;65035
43;56;0;132;44;133;46;1148;55;;0;DE43B2AC;65036
44;58;0;133;45;134;48;1149;53;;0;DE43B2AC;65037
45;59;0;133;46;134;49;1155;26;;0;DE43B2AC;65038
46;60;0;134;47;135;50;1155;27;;0;DE43B2AC;65039
47;61;0;134;48;135;51;1150;50;;0;DE43B2AC;65040
48;63;0;134;49;135;52;1149;52;;0;DE43B2AC;65041
49;64;0;135;50;136;53;1150;51;;0;DE43B2AC;65042
50;65;0;135;51;136;54;1151;47;;0;DE43B2AC;65043
51;66;0;135;52;136;55;1150;48;;0;DE43B2AC;65044
52;68;0;136;53;137;56;1150;49;;0;DE43B2AC;65045
53;69;0;136;54;137;57;1155;25;;0;DE43B2AC;65046
54;70;0;136;55;137;58;1151;46;;0;DE43B2AC;65047
55;71;0;136;56;137;59;1151;43;;0;DE43B2AC;65048
56;73;0;137;57;138;60;1151;45;;0;DE43B2AC;65049
57;74;0;137;58;138;61;1151;44;;0;DE43B2AC;65050
58;75;0;137;59;138;62;1151;42;;0;DE43B2AC;65051
59;76;0;138;60;139;63;1153;36;;0;DE43B2AC;65052
60;78;0;138;61;139;64;1152;40;;0;DE43B2AC;65053
61;79;0;138;62;140;65;1152;41;;0;DE43B2AC;65054
62;80;0;139;63;140;66;1153;37;;0;DE43B2AC;65055
63;81;0;139;64;140;67;1156;21;;0;DE43B2AC;65056
64;82;0;140;65;141;68;1152;39;;0;DE43B2AC;65057
65;83;0;140;66;141;69;1154;30;;0;DE43B2AC;65058
66;85;0;140;67;141;70;1153;31;;0;DE43B2AC;65059
67;86;0;140;68;142;71;1157;18;;0;DE43B2AC;65060
68;87;0;141;69;142;72;1155;24;;0;DE43B2AC;65061
69;88;0;141;70;142;73;1157;17;;0;DE43B2AC;65062
70;90;0;142;71;143;74;1155;23;;0;DE43B2AC;65063
71;91;0;142;72;143;75;1156;22;;0;DE43B2AC;65064
72;92;0;142;73;143;75;1156;19;;0;DE43B2AC;65065
73;93;0;143;74;144;76;1157;16;;0;DE43B2AC;65066
74;95;0;143;75;144;78;1158;11;;0;DE43B2AC;65067
75;96;0;143;76;144;79;1157;14;;0;DE43B2AC;65068
76;97;0;144;77;145;80;1158;12;;0;DE43B2AC;65069
77;98;0;144;78;145;81;1157;15;;0;DE43B2AC;65070
78;100;0;144;79;145;82;1158;10;;0;DE43B2AC;65071
79;101;0;145;80;146;83;1158;13;;0;DE43B2AC;65072
80;102;0;145;81;146;84;1160;0;;0;DE43B2AC;65073
81;103;0;145;82;146;84;1158;8;;0;DE43B2AC;65074
82;104;0;146;83;147;86;1158;9;;0;DE43B2AC;65075
83;106;0;146;84;147;87;1159;5;;0;DE43B2AC;65076
84;107;0;146;85;147;88;1159;6;;0;DE43B2AC;65077
85;108;0;146;86;148;89;1158;7;;0;DE43B2AC;65078
86;110;0;147;87;148;90;1159;4;;0;DE43B2AC;65079
87;111;0;147;88;148;90;1159;2;;0;DE43B2AC;65080
88;112;0;148;89;148;90;1159;3;;0;DE43B2AC;65081
89;113;0;148;90;149;90;1160;1;;0;DE43B2AC;65082
