ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.18][Dynamic][Lambda]

Дата:;;;;2018.06.29
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;50
Режим на формиране на заявките:;;;;Consecutive
Задръжка до разпадане:;;;;1000

Режим на протокола:;;;;Screen Off
Tsyn:;;;;08:57:29.508
T0:;;;;08:57:29.523
Tend:;;;;08:57:31.043
T0 - Tsyn:;;;;0,015
Tend - T0:;;;;1,520
Tend - Tsyn:;;;;1,535

P:;;;;33,00
ERR:;;;;0
;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;15;1;46;10;1051;49;;0;DEE048C9;61298
1;15;1;15;2;78;24;1098;48;;0;DEE048C9;61299
2;15;2;15;3;156;50;1176;47;;0;DEE048C9;61300
3;15;3;15;4;171;50;1192;46;;0;DEE048C9;61301
4;15;4;15;5;187;50;1207;45;;0;DEE048C9;61302
5;31;5;31;6;218;50;1238;44;;0;DEE048C9;61303
6;31;6;31;7;234;50;1254;43;;0;DEE048C9;61304
7;31;7;31;8;250;50;1270;42;;0;DEE048C9;61305
8;31;8;31;9;270;50;1285;41;;0;DEE048C9;61306
9;31;9;31;10;285;50;1301;40;;0;DEE048C9;61307
10;31;10;46;11;317;50;1332;39;;0;DEE048C9;61308
11;46;11;46;12;332;50;1348;38;;0;DEE048C9;61309
12;46;12;46;13;348;50;1363;37;;0;DEE048C9;61310
13;46;13;46;14;348;50;1363;35;;0;DEE048C9;61311
14;46;14;46;15;348;50;1363;36;;0;DEE048C9;61312
15;46;15;46;16;363;50;1379;34;;0;DEE048C9;61313
16;62;16;62;17;363;50;1379;32;;0;DEE048C9;61314
17;62;17;62;18;363;50;1379;31;;0;DEE048C9;61315
18;62;18;62;19;363;50;1379;33;;0;DEE048C9;61316
19;62;19;62;20;379;50;1395;29;;0;DEE048C9;61317
20;62;20;62;21;379;50;1395;30;;0;DEE048C9;61318
21;62;21;78;22;379;50;1395;28;;0;DEE048C9;61319
22;78;22;78;23;395;50;1410;26;;0;DEE048C9;61320
23;78;23;78;24;395;50;1410;27;;0;DEE048C9;61321
24;78;24;78;25;395;50;1410;25;;0;DEE048C9;61322
25;78;25;78;26;395;50;1426;22;;0;DEE048C9;61323
26;78;26;78;27;410;50;1426;24;;0;DEE048C9;61324
27;93;27;93;28;410;50;1426;23;;0;DEE048C9;61325
28;93;28;93;29;410;50;1426;21;;0;DEE048C9;61326
29;93;29;93;30;426;50;1441;19;;0;DEE048C9;61327
30;93;30;93;31;426;50;1441;20;;0;DEE048C9;61328
31;93;31;93;32;426;50;1441;18;;0;DEE048C9;61329
32;109;32;109;33;442;50;1457;16;;0;DEE048C9;61330
33;109;33;109;34;442;50;1457;15;;0;DEE048C9;61331
34;109;34;109;35;442;50;1457;17;;0;DEE048C9;61332
35;109;35;109;36;442;50;1457;14;;0;DEE048C9;61333
36;109;36;109;37;457;50;1473;13;;0;DEE048C9;61334
37;109;37;109;38;457;50;1473;11;;0;DEE048C9;61335
38;125;38;125;39;457;50;1473;12;;0;DEE048C9;61336
39;125;39;125;40;473;50;1488;9;;0;DEE048C9;61337
40;125;40;125;41;473;50;1488;8;;0;DEE048C9;61338
41;125;41;125;42;473;50;1488;10;;0;DEE048C9;61339
42;125;42;125;43;488;50;1504;7;;0;DEE048C9;61340
43;140;43;140;44;488;50;1504;5;;0;DEE048C9;61341
44;140;44;140;45;488;50;1504;6;;0;DEE048C9;61342
45;140;45;140;46;488;50;1520;3;;0;DEE048C9;61343
46;140;46;140;47;504;50;1520;2;;0;DEE048C9;61344
47;140;47;140;48;504;50;1520;4;;0;DEE048C9;61345
48;140;48;156;49;504;50;1535;1;;0;DEE048C9;61346
49;156;49;156;50;520;50;1535;0;;0;DEE048C9;61347
