ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.18][Dynamic][Lambda]

Дата:;;;;2018.06.29
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;50
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;1000

Режим на протокола:;;;;Screen Off
Tsyn:;;;;08:50:11.109
T0:;;;;08:50:11.155
Tend:;;;;08:51:00.735
T0 - Tsyn:;;;;0,046
Tend - T0:;;;;49,580
Tend - Tsyn:;;;;49,626

P:;;;;0,97
ERR:;;;;2
;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;46;1;46;6;1066;39;;0;DEE04713;61115
1;0;0;46;2;1097;47;2129;46;;0;DEE04714;61116
2;15;0;46;3;2144;46;3167;45;;0;DEE04715;61117
3;15;0;46;4;3183;45;4204;44;;0;DEE04716;61118
4;15;0;46;5;4220;44;5236;43;;0;DEE04717;61119
5;15;0;46;6;5252;43;6261;42;;0;DEE04718;61120
6;15;0;550;23;22831;26;23846;25;;0;DEE04729;61121
7;15;0;535;18;17667;31;18683;30;;0;DEE04724;61122
8;15;0;535;10;9390;39;10406;38;;0;DEE0471C;61123
9;15;0;550;27;26971;22;27984;21;;0;DEE0472E;61124
10;15;0;535;11;10422;38;11445;37;;0;DEE0471D;61125
11;15;0;535;13;12501;36;13518;35;;0;DEE0471F;61126
12;15;0;535;19;18698;30;19720;29;;0;DEE04725;61127
13;15;0;550;28;28000;21;29016;20;;0;DEE0472F;61128
14;15;0;535;12;11460;37;12486;36;;0;DEE0471E;61129
15;15;0;535;17;16629;32;17652;31;;0;DEE04723;61130
16;15;0;46;7;6277;42;7299;41;;0;DEE04719;61131
17;15;0;535;14;13533;35;14548;34;;0;DEE04720;61132
18;15;0;550;24;23862;25;24885;24;;0;DEE0472A;61133
19;15;0;550;21;20775;28;21786;27;;0;DEE04727;61134
20;15;0;550;26;25940;23;26956;22;;0;DEE0472D;61135
21;15;0;550;29;29031;20;30060;19;;0;DEE04730;61136
22;31;0;535;15;14563;34;15585;33;;0;DEE04721;61137
23;31;0;535;20;19735;29;20760;28;;0;DEE04726;61138
24;31;0;550;22;21802;27;22816;26;;0;DEE04728;61139
25;31;0;535;16;15601;33;16614;32;;0;DEE04722;61140
26;31;0;550;25;24900;24;25925;23;;0;DEE0472C;61141
27;31;0;46;8;7319;41;8334;40;;0;DEE0471A;61142
28;31;0;1050;32;32128;17;33138;16;;0;DEE04733;61143
29;31;0;1050;37;37275;12;38288;11;;0;DEE04738;61144
30;31;0;1066;42;43463;6;44472;5;;0;DEE0473E;61145
31;31;0;1066;46;47585;2;48595;1;;0;DEE04742;61146
32;31;0;1050;35;35193;14;36219;13;;0;DEE04736;61147
33;31;0;1050;36;36235;13;37260;12;;0;DEE04737;61148
34;31;0;1066;45;46551;3;47570;2;;0;DEE04741;61149
35;31;0;1066;40;41398;8;42415;7;;0;DEE0473C;61150
36;31;0;1066;40;40373;9;41382;8;;0;DEE0473B;61151
37;31;0;1050;31;31088;18;32112;17;;0;DEE04732;61152
38;31;0;1066;47;48611;1;49626;0;;0;DEE04743;61153
39;31;0;46;9;8350;40;9375;39;;0;DEE0471B;61154
40;31;0;1050;34;34184;15;35193;14;;0;DEE04735;61155
41;46;0;1066;41;42431;7;43447;6;;0;DEE0473D;61156
42;46;0;1050;33;33153;16;34168;15;;0;DEE04734;61157
43;46;0;1050;30;30075;19;31088;18;;0;DEE04731;61158
44;46;0;1050;39;39335;10;40357;9;;0;DEE0473A;61159
45;46;0;1066;43;44488;5;45505;4;;0;DEE0473F;61160
46;46;0;1050;38;38304;11;39320;10;;0;DEE04739;61161
47;46;0;1066;44;45521;4;46535;3;;0;DEE04740;61162
48;46;0;;0;;0;;0;1082;47;0;61163
49;46;0;;0;;0;;0;1082;47;0;61164
