12:43:05.389 SYN
12:43:05.393 [DESKTOP-J4IRC2O::127.0.0.1] CNC[0]
12:43:05.400 [DESKTOP-J4IRC2O::127.0.0.1] RPL[0]::[DEB8F0A9]
12:43:05.402 [DESKTOP-J4IRC2O::127.0.0.1] CNC[1]
12:43:05.405 [DESKTOP-J4IRC2O::127.0.0.1] RPL[1]::[DEB8F0A9]
12:43:05.407 [DESKTOP-J4IRC2O::127.0.0.1] CNC[2]
12:43:05.411 [DESKTOP-J4IRC2O::127.0.0.1] RPL[2]::[DEB8F0A9]
12:43:05.414 [DESKTOP-J4IRC2O::127.0.0.1] CNC[3]
12:43:05.417 [DESKTOP-J4IRC2O::127.0.0.1] RPL[3]::[DEB8F0A9]
12:43:05.421 [DESKTOP-J4IRC2O::127.0.0.1] CNC[4]
12:43:05.424 [DESKTOP-J4IRC2O::127.0.0.1] RPL[4]::[DEB8F0A9]
12:43:05.427 [DESKTOP-J4IRC2O::127.0.0.1] CNC[5]
12:43:05.432 [DESKTOP-J4IRC2O::127.0.0.1] RPL[5]::[DEB8F0A9]
12:43:05.435 [DESKTOP-J4IRC2O::127.0.0.1] CNC[6]
12:43:05.438 [DESKTOP-J4IRC2O::127.0.0.1] RPL[6]::[DEB8F0A9]
12:43:05.442 [DESKTOP-J4IRC2O::127.0.0.1] CNC[7]
12:43:05.445 [DESKTOP-J4IRC2O::127.0.0.1] RPL[7]::[DEB8F0A9]
12:43:05.450 [DESKTOP-J4IRC2O::127.0.0.1] CNC[8]
12:43:05.455 [DESKTOP-J4IRC2O::127.0.0.1] RPL[8]::[DEB8F0A9]
12:43:05.458 [DESKTOP-J4IRC2O::127.0.0.1] CNC[9]
12:43:05.462 [DESKTOP-J4IRC2O::127.0.0.1] RPL[9]::[DEB8F0A9]
12:43:05.467 [DESKTOP-J4IRC2O::127.0.0.1] CNC[10]
12:43:05.471 [DESKTOP-J4IRC2O::127.0.0.1] RPL[10]::[DEB8F0A9]
