12:46:34.640 SYN
12:46:38.045 READY
12:46:34.964 [DESKTOP-J4IRC2O::127.0.0.1] RPL[25]::[DEB8F17A]
12:46:34.967 [DESKTOP-J4IRC2O::127.0.0.1] RPL[26]::[DEB8F17A]
12:46:34.970 [DESKTOP-J4IRC2O::127.0.0.1] RPL[27]::[DEB8F17A]
12:46:34.973 [DESKTOP-J4IRC2O::127.0.0.1] RPL[28]::[DEB8F17A]
12:46:34.977 [DESKTOP-J4IRC2O::127.0.0.1] RPL[29]::[DEB8F17A]
12:46:34.981 [DESKTOP-J4IRC2O::127.0.0.1] RPL[30]::[DEB8F17A]
12:46:34.984 [DESKTOP-J4IRC2O::127.0.0.1] RPL[31]::[DEB8F17A]
12:46:34.987 [DESKTOP-J4IRC2O::127.0.0.1] RPL[32]::[DEB8F17A]
12:46:34.990 [DESKTOP-J4IRC2O::127.0.0.1] RPL[33]::[DEB8F17A]
12:46:34.994 [DESKTOP-J4IRC2O::127.0.0.1] RPL[34]::[DEB8F17A]
12:46:34.997 [DESKTOP-J4IRC2O::127.0.0.1] RPL[35]::[DEB8F17A]
12:46:35.000 [DESKTOP-J4IRC2O::127.0.0.1] RPL[36]::[DEB8F17A]
12:46:35.003 [DESKTOP-J4IRC2O::127.0.0.1] RPL[37]::[DEB8F17A]
12:46:35.007 [DESKTOP-J4IRC2O::127.0.0.1] RPL[38]::[DEB8F17A]
12:46:35.011 [DESKTOP-J4IRC2O::127.0.0.1] RPL[39]::[DEB8F17A]
12:46:35.014 [DESKTOP-J4IRC2O::127.0.0.1] RPL[40]::[DEB8F17A]
12:46:35.017 [DESKTOP-J4IRC2O::127.0.0.1] RPL[41]::[DEB8F17A]
12:46:35.020 [DESKTOP-J4IRC2O::127.0.0.1] RPL[42]::[DEB8F17A]
12:46:35.023 [DESKTOP-J4IRC2O::127.0.0.1] RPL[43]::[DEB8F17A]
12:46:35.027 [DESKTOP-J4IRC2O::127.0.0.1] RPL[44]::[DEB8F17A]
12:46:35.030 [DESKTOP-J4IRC2O::127.0.0.1] RPL[45]::[DEB8F17A]
12:46:35.033 [DESKTOP-J4IRC2O::127.0.0.1] RPL[46]::[DEB8F17A]
12:46:35.037 [DESKTOP-J4IRC2O::127.0.0.1] RPL[47]::[DEB8F17A]
12:46:35.040 [DESKTOP-J4IRC2O::127.0.0.1] RPL[48]::[DEB8F17A]
12:46:35.044 [DESKTOP-J4IRC2O::127.0.0.1] RPL[49]::[DEB8F17A]
12:46:37.653 [DESKTOP-J4IRC2O::127.0.0.1] DSC[0]
12:46:37.685 [DESKTOP-J4IRC2O::127.0.0.1] DSC[1]
12:46:37.719 [DESKTOP-J4IRC2O::127.0.0.1] DSC[2]
12:46:37.755 [DESKTOP-J4IRC2O::127.0.0.1] DSC[3]
12:46:37.791 [DESKTOP-J4IRC2O::127.0.0.1] DSC[4]
12:46:37.810 [DESKTOP-J4IRC2O::127.0.0.1] DSC[5]
12:46:37.827 [DESKTOP-J4IRC2O::127.0.0.1] DSC[6]
12:46:37.850 [DESKTOP-J4IRC2O::127.0.0.1] DSC[7]
12:46:37.866 [DESKTOP-J4IRC2O::127.0.0.1] DSC[8]
12:46:37.878 [DESKTOP-J4IRC2O::127.0.0.1] DSC[9]
12:46:37.900 [DESKTOP-J4IRC2O::127.0.0.1] DSC[10]
12:46:37.912 [DESKTOP-J4IRC2O::127.0.0.1] DSC[11]
12:46:37.921 [DESKTOP-J4IRC2O::127.0.0.1] DSC[12]
12:46:37.925 [DESKTOP-J4IRC2O::127.0.0.1] DSC[13]
12:46:37.929 [DESKTOP-J4IRC2O::127.0.0.1] DSC[14]
12:46:37.932 [DESKTOP-J4IRC2O::127.0.0.1] DSC[15]
12:46:37.936 [DESKTOP-J4IRC2O::127.0.0.1] DSC[16]
12:46:37.938 [DESKTOP-J4IRC2O::127.0.0.1] DSC[17]
12:46:37.942 [DESKTOP-J4IRC2O::127.0.0.1] DSC[18]
12:46:37.945 [DESKTOP-J4IRC2O::127.0.0.1] DSC[19]
12:46:37.948 [DESKTOP-J4IRC2O::127.0.0.1] DSC[20]
12:46:37.952 [DESKTOP-J4IRC2O::127.0.0.1] DSC[21]
12:46:37.955 [DESKTOP-J4IRC2O::127.0.0.1] DSC[22]
12:46:37.958 [DESKTOP-J4IRC2O::127.0.0.1] DSC[23]
12:46:37.962 [DESKTOP-J4IRC2O::127.0.0.1] DSC[24]
12:46:37.965 [DESKTOP-J4IRC2O::127.0.0.1] DSC[25]
12:46:37.968 [DESKTOP-J4IRC2O::127.0.0.1] DSC[26]
12:46:37.971 [DESKTOP-J4IRC2O::127.0.0.1] DSC[27]
12:46:37.974 [DESKTOP-J4IRC2O::127.0.0.1] DSC[28]
12:46:37.978 [DESKTOP-J4IRC2O::127.0.0.1] DSC[29]
12:46:37.982 [DESKTOP-J4IRC2O::127.0.0.1] DSC[30]
12:46:37.985 [DESKTOP-J4IRC2O::127.0.0.1] DSC[31]
12:46:37.988 [DESKTOP-J4IRC2O::127.0.0.1] DSC[32]
12:46:37.991 [DESKTOP-J4IRC2O::127.0.0.1] DSC[33]
12:46:37.995 [DESKTOP-J4IRC2O::127.0.0.1] DSC[34]
12:46:37.998 [DESKTOP-J4IRC2O::127.0.0.1] DSC[35]
12:46:38.001 [DESKTOP-J4IRC2O::127.0.0.1] DSC[36]
12:46:38.005 [DESKTOP-J4IRC2O::127.0.0.1] DSC[37]
12:46:38.008 [DESKTOP-J4IRC2O::127.0.0.1] DSC[38]
