12:49:03.147 SYN
12:49:06.279 READY
12:49:03.150 [DESKTOP-J4IRC2O::127.0.0.1] CNC[0]
12:49:03.154 [DESKTOP-J4IRC2O::127.0.0.1] RPL[0]::[DEB8F20F]
12:49:03.155 [DESKTOP-J4IRC2O::127.0.0.1] CNC[1]
12:49:03.157 [DESKTOP-J4IRC2O::127.0.0.1] RPL[1]::[DEB8F20F]
12:49:03.158 [DESKTOP-J4IRC2O::127.0.0.1] CNC[2]
12:49:03.160 [DESKTOP-J4IRC2O::127.0.0.1] RPL[2]::[DEB8F20F]
12:49:03.161 [DESKTOP-J4IRC2O::127.0.0.1] CNC[3]
12:49:03.162 [DESKTOP-J4IRC2O::127.0.0.1] RPL[3]::[DEB8F20F]
12:49:03.163 [DESKTOP-J4IRC2O::127.0.0.1] CNC[4]
12:49:03.165 [DESKTOP-J4IRC2O::127.0.0.1] RPL[4]::[DEB8F20F]
12:49:03.166 [DESKTOP-J4IRC2O::127.0.0.1] CNC[5]
12:49:03.167 [DESKTOP-J4IRC2O::127.0.0.1] RPL[5]::[DEB8F20F]
12:49:03.168 [DESKTOP-J4IRC2O::127.0.0.1] CNC[6]
12:49:03.170 [DESKTOP-J4IRC2O::127.0.0.1] RPL[6]::[DEB8F20F]
12:49:03.170 [DESKTOP-J4IRC2O::127.0.0.1] CNC[7]
12:49:03.172 [DESKTOP-J4IRC2O::127.0.0.1] RPL[7]::[DEB8F20F]
12:49:03.172 [DESKTOP-J4IRC2O::127.0.0.1] CNC[8]
12:49:03.174 [DESKTOP-J4IRC2O::127.0.0.1] RPL[8]::[DEB8F20F]
12:49:03.175 [DESKTOP-J4IRC2O::127.0.0.1] CNC[9]
12:49:03.177 [DESKTOP-J4IRC2O::127.0.0.1] RPL[9]::[DEB8F20F]
12:49:03.178 [DESKTOP-J4IRC2O::127.0.0.1] CNC[10]
12:49:03.179 [DESKTOP-J4IRC2O::127.0.0.1] RPL[10]::[DEB8F20F]
12:49:03.180 [DESKTOP-J4IRC2O::127.0.0.1] CNC[11]
12:49:03.181 [DESKTOP-J4IRC2O::127.0.0.1] RPL[11]::[DEB8F20F]
12:49:03.182 [DESKTOP-J4IRC2O::127.0.0.1] CNC[12]
12:49:03.184 [DESKTOP-J4IRC2O::127.0.0.1] RPL[12]::[DEB8F20F]
12:49:03.185 [DESKTOP-J4IRC2O::127.0.0.1] CNC[13]
12:49:03.187 [DESKTOP-J4IRC2O::127.0.0.1] RPL[13]::[DEB8F20F]
12:49:03.188 [DESKTOP-J4IRC2O::127.0.0.1] CNC[14]
