12:16:37.303 SYN
12:16:37.752 [DESKTOP-J4IRC2O::127.0.0.1] CNC[36]
12:16:37.759 [DESKTOP-J4IRC2O::127.0.0.1] RPL[36]::[DEB8EA75]
12:16:37.766 [DESKTOP-J4IRC2O::127.0.0.1] CNC[37]
12:16:37.773 [DESKTOP-J4IRC2O::127.0.0.1] RPL[37]::[DEB8EA75]
12:16:37.780 [DESKTOP-J4IRC2O::127.0.0.1] CNC[38]
12:16:37.788 [DESKTOP-J4IRC2O::127.0.0.1] RPL[38]::[DEB8EA75]
12:16:37.794 [DESKTOP-J4IRC2O::127.0.0.1] CNC[39]
12:16:37.802 [DESKTOP-J4IRC2O::127.0.0.1] RPL[39]::[DEB8EA75]
12:16:37.808 [DESKTOP-J4IRC2O::127.0.0.1] CNC[40]
12:16:37.817 [DESKTOP-J4IRC2O::127.0.0.1] RPL[40]::[DEB8EA75]
12:16:37.823 [DESKTOP-J4IRC2O::127.0.0.1] CNC[41]
12:16:37.830 [DESKTOP-J4IRC2O::127.0.0.1] RPL[41]::[DEB8EA75]
12:16:37.841 [DESKTOP-J4IRC2O::127.0.0.1] CNC[42]
12:16:37.848 [DESKTOP-J4IRC2O::127.0.0.1] RPL[42]::[DEB8EA75]
12:16:37.856 [DESKTOP-J4IRC2O::127.0.0.1] CNC[43]
12:16:37.864 [DESKTOP-J4IRC2O::127.0.0.1] RPL[43]::[DEB8EA75]
12:16:37.872 [DESKTOP-J4IRC2O::127.0.0.1] CNC[44]
12:16:37.879 [DESKTOP-J4IRC2O::127.0.0.1] RPL[44]::[DEB8EA75]
12:16:37.886 [DESKTOP-J4IRC2O::127.0.0.1] CNC[45]
12:16:37.893 [DESKTOP-J4IRC2O::127.0.0.1] RPL[45]::[DEB8EA75]
12:16:37.901 [DESKTOP-J4IRC2O::127.0.0.1] CNC[46]
12:16:37.909 [DESKTOP-J4IRC2O::127.0.0.1] RPL[46]::[DEB8EA75]
12:16:37.918 [DESKTOP-J4IRC2O::127.0.0.1] CNC[47]
12:16:37.925 [DESKTOP-J4IRC2O::127.0.0.1] RPL[47]::[DEB8EA75]
12:16:37.932 [DESKTOP-J4IRC2O::127.0.0.1] CNC[48]
12:16:37.940 [DESKTOP-J4IRC2O::127.0.0.1] RPL[48]::[DEB8EA75]
12:16:37.947 [DESKTOP-J4IRC2O::127.0.0.1] CNC[49]
12:16:37.954 [DESKTOP-J4IRC2O::127.0.0.1] RPL[49]::[DEB8EA75]
12:16:40.361 [DESKTOP-J4IRC2O::127.0.0.1] DSC[0]
12:16:40.378 [DESKTOP-J4IRC2O::127.0.0.1] DSC[1]
12:16:40.390 [DESKTOP-J4IRC2O::127.0.0.1] DSC[2]
12:16:40.403 [DESKTOP-J4IRC2O::127.0.0.1] DSC[3]
12:16:40.417 [DESKTOP-J4IRC2O::127.0.0.1] DSC[4]
12:16:40.438 [DESKTOP-J4IRC2O::127.0.0.1] DSC[5]
12:16:40.454 [DESKTOP-J4IRC2O::127.0.0.1] DSC[6]
12:16:40.464 [DESKTOP-J4IRC2O::127.0.0.1] DSC[7]
12:16:40.477 [DESKTOP-J4IRC2O::127.0.0.1] DSC[8]
12:16:40.489 [DESKTOP-J4IRC2O::127.0.0.1] DSC[9]
12:16:40.495 [DESKTOP-J4IRC2O::127.0.0.1] DSC[10]
12:16:40.506 [DESKTOP-J4IRC2O::127.0.0.1] DSC[11]
12:16:40.511 [DESKTOP-J4IRC2O::127.0.0.1] DSC[12]
12:16:40.517 [DESKTOP-J4IRC2O::127.0.0.1] DSC[13]
12:16:40.529 [DESKTOP-J4IRC2O::127.0.0.1] DSC[14]
12:16:40.536 [DESKTOP-J4IRC2O::127.0.0.1] DSC[15]
12:16:40.542 [DESKTOP-J4IRC2O::127.0.0.1] DSC[16]
12:16:40.547 [DESKTOP-J4IRC2O::127.0.0.1] DSC[17]
12:16:40.560 [DESKTOP-J4IRC2O::127.0.0.1] DSC[18]
12:16:40.569 [DESKTOP-J4IRC2O::127.0.0.1] DSC[19]
12:16:40.575 [DESKTOP-J4IRC2O::127.0.0.1] DSC[20]
12:16:40.581 [DESKTOP-J4IRC2O::127.0.0.1] DSC[21]
12:16:40.587 [DESKTOP-J4IRC2O::127.0.0.1] DSC[22]
12:16:40.592 [DESKTOP-J4IRC2O::127.0.0.1] DSC[23]
12:16:40.598 [DESKTOP-J4IRC2O::127.0.0.1] DSC[24]
12:16:40.612 [DESKTOP-J4IRC2O::127.0.0.1] DSC[25]
12:16:40.619 [DESKTOP-J4IRC2O::127.0.0.1] DSC[26]
12:16:40.633 [DESKTOP-J4IRC2O::127.0.0.1] DSC[27]
12:16:40.647 [DESKTOP-J4IRC2O::127.0.0.1] DSC[28]
12:16:40.661 [DESKTOP-J4IRC2O::127.0.0.1] DSC[29]
12:16:40.675 [DESKTOP-J4IRC2O::127.0.0.1] DSC[30]
12:16:40.690 [DESKTOP-J4IRC2O::127.0.0.1] DSC[31]
12:16:40.704 [DESKTOP-J4IRC2O::127.0.0.1] DSC[32]
12:16:40.719 [DESKTOP-J4IRC2O::127.0.0.1] DSC[33]
12:16:40.735 [DESKTOP-J4IRC2O::127.0.0.1] DSC[34]
12:16:40.753 [DESKTOP-J4IRC2O::127.0.0.1] DSC[35]
12:16:40.766 [DESKTOP-J4IRC2O::127.0.0.1] DSC[36]
12:16:40.780 [DESKTOP-J4IRC2O::127.0.0.1] DSC[37]
12:16:40.795 [DESKTOP-J4IRC2O::127.0.0.1] DSC[38]
12:16:40.809 [DESKTOP-J4IRC2O::127.0.0.1] DSC[39]
12:16:40.824 [DESKTOP-J4IRC2O::127.0.0.1] DSC[40]
12:16:40.843 [DESKTOP-J4IRC2O::127.0.0.1] DSC[41]
12:16:40.856 [DESKTOP-J4IRC2O::127.0.0.1] DSC[42]
12:16:40.873 [DESKTOP-J4IRC2O::127.0.0.1] DSC[43]
12:16:40.887 [DESKTOP-J4IRC2O::127.0.0.1] DSC[44]
12:16:40.903 [DESKTOP-J4IRC2O::127.0.0.1] DSC[45]
12:16:40.918 [DESKTOP-J4IRC2O::127.0.0.1] DSC[46]
12:16:40.932 [DESKTOP-J4IRC2O::127.0.0.1] DSC[47]
12:16:40.948 [DESKTOP-J4IRC2O::127.0.0.1] DSC[48]
12:16:40.961 [DESKTOP-J4IRC2O::127.0.0.1] DSC[49]
