ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.16][Dynamic][Lambda]

Дата:;;;;2018.03.02
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;20
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;1000

Tsyn:;;;;14:10:45.908
T0:;;;;14:10:45.934
Tend:;;;;14:11:05.233
T0 - Tsyn:;;;;0,026
Tend - T0:;;;;19,299
Tend - Tsyn:;;;;19,325

P:;;;;0,98
ERR:;;;;1

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;26;1;29;6;1030;18;;0;DE43BDC5;57254
1;2;0;26;2;1052;18;2054;17;;0;DE43BDC6;57255
2;3;0;26;3;2069;17;3070;16;;0;DE43BDC7;57256
3;4;0;28;4;3084;16;4085;15;;0;DE43BDC8;57257
4;5;0;28;5;4100;15;5101;14;;0;DE43BDCA;57258
5;7;0;28;6;5114;14;6116;13;;0;DE43BDCB;57259
6;8;0;509;8;7146;12;8148;11;;0;DE43BDCD;57260
7;9;0;512;10;9179;10;10180;9;;0;DE43BDCF;57261
8;10;0;511;9;8163;11;9164;10;;0;DE43BDCE;57262
9;10;0;513;11;10194;9;11196;8;;0;DE43BDD0;57263
10;11;0;514;12;11210;8;12211;7;;0;DE43BDD1;57264
11;13;0;29;7;6130;13;7132;12;;0;DE43BDCC;57265
12;14;0;515;13;12232;7;13234;6;;0;DE43BDD2;57266
13;15;0;1016;14;13252;6;14254;5;;0;DE43BDD3;57267
14;15;0;1020;16;15283;4;16284;3;;0;DE43BDD5;57268
15;16;0;1019;15;14267;5;15269;4;;0;DE43BDD4;57269
16;17;0;1021;17;16292;3;17294;2;;0;DE43BDD6;57270
17;19;0;1021;18;17308;2;18309;1;;0;DE43BDD7;57271
18;19;0;1022;19;18323;1;19325;0;;0;DE43BDD8;57272
19;21;0;;0;;0;;0;1023;19;0;57273
