ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.16][Dynamic][Lambda]

Дата:;;;;2018.03.02
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;60
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;1000

Tsyn:;;;;14:13:31.810
T0:;;;;14:13:31.874
Tend:;;;;14:14:15.534
T0 - Tsyn:;;;;0,064
Tend - T0:;;;;43,660
Tend - Tsyn:;;;;43,724

P:;;;;0,98
ERR:;;;;17

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;64;1;66;6;1067;42;;0;DE43BE6B;58340
1;1;0;65;2;1076;42;2077;41;;0;DE43BE6C;58341
2;2;0;65;3;2092;41;3093;40;;0;DE43BE6D;58342
3;4;0;65;4;3108;40;4109;39;;0;DE43BE6E;58343
4;5;0;66;5;4122;39;5124;38;;0;DE43BE6F;58344
5;6;0;66;6;5137;38;6139;37;;0;DE43BE70;58345
6;7;0;507;12;11232;32;12234;31;;0;DE43BE77;58346
7;8;0;509;13;12248;31;13249;30;;0;DE43BE78;58347
8;9;0;510;14;13266;30;14268;29;;0;DE43BE79;58348
9;10;0;511;15;14282;29;15283;28;;0;DE43BE7A;58349
10;11;0;66;7;6153;37;7155;36;;0;DE43BE71;58350
11;13;0;514;16;15297;28;16299;27;;0;DE43BE7B;58351
12;14;0;515;17;16315;27;17316;26;;0;DE43BE7C;58352
13;15;0;1017;29;28500;15;29502;14;;0;DE43BE88;58353
14;16;0;1016;28;27485;16;28486;15;;0;DE43BE87;58354
15;17;0;1017;30;29516;14;30517;13;;0;DE43BE89;58355
16;18;0;519;18;17330;26;18331;25;;0;DE43BE7D;58356
17;19;0;1022;32;31548;12;32549;11;;0;DE43BE8B;58357
18;19;0;1022;33;32564;11;33566;10;;0;DE43BE8C;58358
19;20;0;1022;34;33580;10;34582;9;;0;DE43BE8D;58359
20;21;0;1022;31;30531;13;31534;12;;0;DE43BE8A;58360
21;22;0;67;8;7169;36;8170;35;;0;DE43BE72;58361
22;24;0;;0;;0;;0;1024;34;0;58362
23;25;0;525;19;18345;25;19347;24;;0;DE43BE7E;58363
24;26;0;1027;35;34595;9;35597;8;;0;DE43BE8E;58364
25;27;0;1031;36;35611;8;36612;7;;0;DE43BE8F;58365
26;28;0;;0;;0;;0;1031;36;0;58366
27;29;0;529;20;19361;24;20362;23;;0;DE43BE7F;58367
28;30;0;;0;;0;;0;1031;36;0;58368
29;31;0;;0;;0;;0;1032;36;0;58369
30;31;0;;0;;0;;0;1032;36;0;58370
31;32;0;;0;;0;;0;1032;36;0;58371
32;33;0;67;9;8184;35;9186;34;;0;DE43BE73;58372
33;35;0;535;21;20376;23;21378;22;;0;DE43BE80;58373
34;35;0;1037;37;36626;7;37628;6;;0;DE43BE90;58374
35;36;0;1037;38;37644;6;38646;5;;0;DE43BE91;58375
36;37;0;;0;;0;;0;1037;38;0;58376
37;38;0;538;22;21392;22;22394;21;;0;DE43BE81;58377
38;39;0;;0;;0;;0;1039;38;0;58378
39;40;0;;0;;0;;0;1040;38;0;58379
40;40;0;;0;;0;;0;1041;38;0;58380
41;42;0;;0;;0;;0;1042;38;0;58381
42;43;0;68;10;9200;34;10202;33;;0;DE43BE75;58382
43;44;0;544;23;22408;21;23409;20;;0;DE43BE82;58383
44;45;0;1045;39;38660;5;39661;4;;0;DE43BE92;58384
45;46;0;;0;;0;;0;1046;39;0;58385
46;47;0;547;24;23424;20;24425;19;;0;DE43BE83;58386
47;48;0;1048;40;39674;4;40676;3;;0;DE43BE93;58387
48;49;0;;0;;0;;0;1049;40;0;58388
49;49;0;;0;;0;;0;1049;40;0;58389
50;50;0;;0;;0;;0;1050;40;0;58390
51;51;0;551;25;24439;19;25440;18;;0;DE43BE84;58391
52;52;0;1053;41;40689;3;41691;2;;0;DE43BE94;58392
53;53;0;68;11;10216;33;11218;32;;0;DE43BE76;58393
54;54;0;1056;43;42721;1;43724;0;;0;DE43BE96;58394
55;55;0;1055;42;41705;2;42706;1;;0;DE43BE95;58395
56;56;0;556;26;25454;18;26455;17;;0;DE43BE85;58396
57;57;0;;0;;0;;0;1058;43;0;58397
58;58;0;;0;;0;;0;1058;43;0;58398
59;59;0;568;27;26468;17;27470;16;;0;DE43BE86;58399
