ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.16][Dynamic][Lambda]

Дата:;;;;2018.03.02
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;80
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;1000

Tsyn:;;;;14:16:45.066
T0:;;;;14:16:45.139
Tend:;;;;14:17:34.879
T0 - Tsyn:;;;;0,073
Tend - T0:;;;;49,740
Tend - Tsyn:;;;;49,813

P:;;;;0,98
ERR:;;;;31

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;73;1;75;6;1075;48;;0;DE43BF2D;59552
1;1;0;73;2;1083;48;2084;47;;0;DE43BF2E;59553
2;3;0;73;3;2098;47;3100;46;;0;DE43BF2F;59554
3;4;0;73;4;3105;46;4106;45;;0;DE43BF30;59555
4;5;0;74;5;4119;45;5121;44;;0;DE43BF31;59556
5;6;0;75;6;5134;44;6136;43;;0;DE43BF32;59557
6;8;0;509;14;13262;36;14264;35;;0;DE43BF3A;59558
7;9;0;511;15;14278;35;15279;34;;0;DE43BF3B;59559
8;10;0;512;16;15293;34;16294;33;;0;DE43BF3C;59560
9;11;0;513;17;16308;33;17310;32;;0;DE43BF3D;59561
10;12;0;514;18;17324;32;18326;31;;0;DE43BF3E;59562
11;13;0;75;7;6150;43;7151;42;;0;DE43BF33;59563
12;15;0;1016;29;28499;21;29501;20;;0;DE43BF49;59564
13;15;0;516;19;18340;31;19342;30;;0;DE43BF3F;59565
14;16;0;1017;31;30531;19;31533;18;;0;DE43BF4B;59566
15;16;0;1017;30;29515;20;30517;19;;0;DE43BF4A;59567
16;17;0;1018;32;31547;18;32550;17;;0;DE43BF4C;59568
17;18;0;1019;34;33581;16;34582;15;;0;DE43BF4E;59569
18;19;0;1019;33;32565;17;33567;16;;0;DE43BF4D;59570
19;20;0;;0;;0;;0;1020;34;0;59571
20;21;0;1021;35;34596;15;35597;14;;0;DE43BF4F;59572
21;21;0;75;8;7165;42;8167;41;;0;DE43BF34;59573
22;23;0;;0;;0;;0;1023;35;0;59574
23;24;0;;0;;0;;0;1023;35;0;59575
24;25;0;527;20;19356;30;20357;29;;0;DE43BF40;59576
25;26;0;1026;36;35605;14;36607;13;;0;DE43BF50;59577
26;27;0;;0;;0;;0;1027;36;0;59578
27;28;0;;0;;0;;0;1029;37;0;59579
28;29;0;1029;37;36620;13;37621;12;;0;DE43BF51;59580
29;30;0;;0;;0;;0;1029;37;0;59581
30;31;0;;0;;0;;0;1031;37;0;59582
31;32;0;76;9;8181;41;9182;40;;0;DE43BF35;59583
32;33;0;534;21;20371;29;21372;28;;0;DE43BF41;59584
33;33;0;1036;40;39668;10;40669;9;;0;DE43BF54;59585
34;34;0;1035;38;37637;12;38639;11;;0;DE43BF52;59586
35;35;0;1035;39;38653;11;39654;10;;0;DE43BF53;59587
36;35;0;;0;;0;;0;1036;40;0;59588
37;36;0;;0;;0;;0;1036;40;0;59589
38;37;0;;0;;0;;0;1036;40;0;59590
39;37;0;;0;;0;;0;1038;40;0;59591
40;38;0;540;22;21386;28;22388;27;;0;DE43BF42;59592
41;39;0;76;10;9197;40;10198;39;;0;DE43BF36;59593
42;40;0;;0;;0;;0;1041;40;0;59594
43;41;0;;0;;0;;0;1042;40;0;59595
44;42;0;;0;;0;;0;1041;40;0;59596
45;43;0;;0;;0;;0;1042;40;0;59597
46;43;0;;0;;0;;0;1042;40;0;59598
47;44;0;1044;41;40682;9;41684;8;;0;DE43BF55;59599
48;45;0;;0;;0;;0;1046;41;0;59600
49;45;0;;0;;0;;0;1044;41;0;59601
50;46;0;546;23;22402;27;23403;26;;0;DE43BF43;59602
51;47;0;76;11;10214;39;11216;38;;0;DE43BF37;59603
52;48;0;1049;43;42715;7;43717;6;;0;DE43BF57;59604
53;49;0;1049;42;41698;8;42701;7;;0;DE43BF56;59605
54;49;0;;0;;0;;0;1050;43;0;59606
55;50;0;;0;;0;;0;1052;43;0;59607
56;51;0;;0;;0;;0;1052;43;0;59608
57;51;0;;0;;0;;0;1051;43;0;59609
58;52;0;;0;;0;;0;1051;43;0;59610
59;53;0;;0;;0;;0;1053;43;0;59611
60;54;0;555;25;24432;25;25433;24;;0;DE43BF45;59612
61;54;0;554;24;23417;26;24418;25;;0;DE43BF44;59613
62;55;0;76;12;11230;38;12232;37;;0;DE43BF38;59614
63;56;0;1056;44;43731;6;44732;5;;0;DE43BF58;59615
64;57;0;;0;;0;;0;1057;44;0;59616
65;58;0;;0;;0;;0;1058;44;0;59617
66;58;0;1059;46;45764;4;46765;3;;0;DE43BF5A;59618
67;59;0;1059;45;44746;5;45748;4;;0;DE43BF59;59619
68;60;0;;0;;0;;0;1060;46;0;59620
69;61;0;;0;;0;;0;1060;46;0;59621
70;61;0;;0;;0;;0;1060;46;0;59622
71;62;0;;0;;0;;0;1062;46;0;59623
72;63;0;;0;;0;;0;1063;46;0;59624
73;64;0;77;13;12246;37;13247;36;;0;DE43BF39;59625
74;65;0;566;26;25446;24;26456;23;;0;DE43BF46;59626
75;65;0;1068;49;48811;1;49813;0;;0;DE43BF5D;59627
76;66;0;1067;48;47795;2;48797;1;;0;DE43BF5C;59628
77;67;0;1067;47;46780;3;47781;2;;0;DE43BF5B;59629
78;68;0;568;27;26470;23;27471;22;;0;DE43BF47;59630
79;68;0;568;28;27485;22;28486;21;;0;DE43BF48;59631
