ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.16][Dynamic][Lambda]

Дата:;;;;2018.03.02
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;50
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;1000

Tsyn:;;;;14:12:43.665
T0:;;;;14:12:43.717
Tend:;;;;14:13:13.163
T0 - Tsyn:;;;;0,052
Tend - T0:;;;;29,446
Tend - Tsyn:;;;;29,498

P:;;;;0,98
ERR:;;;;21

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;52;1;54;6;1055;28;;0;DE43BE3B;58026
1;2;0;52;2;1070;28;2071;27;;0;DE43BE3C;58027
2;3;0;53;3;2081;27;3082;26;;0;DE43BE3D;58028
3;4;0;53;4;3102;26;4104;25;;0;DE43BE3E;58029
4;5;0;53;5;4117;25;5120;24;;0;DE43BE3F;58030
5;7;0;53;6;5132;24;6134;23;;0;DE43BE40;58031
6;8;0;510;11;10212;19;11213;18;;0;DE43BE45;58032
7;9;0;514;14;13259;16;14261;15;;0;DE43BE48;58033
8;10;0;513;13;12244;17;13245;16;;0;DE43BE47;58034
9;11;0;512;12;11228;18;12230;17;;0;DE43BE46;58035
10;12;0;515;15;14275;15;15276;14;;0;DE43BE49;58036
11;13;0;54;7;6148;23;7150;22;;0;DE43BE41;58037
12;15;0;518;17;16306;13;17307;12;;0;DE43BE4B;58038
13;16;0;517;16;15290;14;16291;13;;0;DE43BE4A;58039
14;16;0;1018;20;19352;10;20353;9;;0;DE43BE4F;58040
15;17;0;1020;21;20367;9;21368;8;;0;DE43BE50;58041
16;18;0;1021;22;21382;8;22384;7;;0;DE43BE51;58042
17;20;0;1022;23;22398;7;23399;6;;0;DE43BE52;58043
18;21;0;1023;24;23413;6;24415;5;;0;DE43BE53;58044
19;21;0;1024;25;24431;5;25432;4;;0;DE43BE54;58045
20;22;0;1024;26;25447;4;26449;3;;0;DE43BE55;58046
21;24;0;54;8;7164;22;8166;21;;0;DE43BE42;58047
22;25;0;;0;;0;;0;1027;26;0;58048
23;26;0;;0;;0;;0;1027;26;0;58049
24;27;0;;0;;0;;0;1027;26;0;58050
25;28;0;;0;;0;;0;1027;26;0;58051
26;29;0;;0;;0;;0;1030;26;0;58052
27;29;0;;0;;0;;0;1030;26;0;58053
28;30;0;;0;;0;;0;1030;26;0;58054
29;31;0;;0;;0;;0;1032;26;0;58055
30;32;0;;0;;0;;0;1032;26;0;58056
31;33;0;;0;;0;;0;1033;26;0;58057
32;34;0;55;9;8180;21;9182;20;;0;DE43BE43;58058
33;35;0;537;18;17321;12;18322;11;;0;DE43BE4C;58059
34;35;0;;0;;0;;0;1036;26;0;58060
35;36;0;;0;;0;;0;1036;26;0;58061
36;37;0;;0;;0;;0;1036;26;0;58062
37;37;0;;0;;0;;0;1039;27;0;58063
38;38;0;1038;27;26466;3;27467;2;;0;DE43BE56;58064
39;39;0;;0;;0;;0;1039;27;0;58065
40;40;0;;0;;0;;0;1039;27;0;58066
41;41;0;55;10;9196;20;10197;19;;0;DE43BE44;58067
42;42;0;1044;29;28497;1;29498;0;;0;DE43BE58;58068
43;43;0;1044;28;27481;2;28483;1;;0;DE43BE57;58069
44;43;0;;0;;0;;0;1045;29;0;58070
45;44;0;547;19;18336;11;19338;10;;0;DE43BE4D;58071
46;45;0;;0;;0;;0;1047;29;0;58072
47;46;0;;0;;0;;0;1045;29;0;58073
48;47;0;;0;;0;;0;1047;29;0;58074
49;47;0;;0;;0;;0;1049;29;0;58075
