ТЕСТОВЕ ПОД ТОВАР НА TIME PROTOCOL (RFC-868) СЪРВЪР

Източник на товар:;;;; Time Server Load Simulator [ver.2.1.0.16][Dynamic][Lambda]

Дата:;;;;2018.03.02
IP адрес сървър:;;;;127.0.0.1
IP адрес клиент:;;;;
Обем на пакета:;;;;30
Режим на формиране на заявките:;;;;Simultaneous
Задръжка до разпадане:;;;;1000

Tsyn:;;;;14:11:20.282
T0:;;;;14:11:20.319
Tend:;;;;14:11:42.661
T0 - Tsyn:;;;;0,037
Tend - T0:;;;;22,342
Tend - Tsyn:;;;;22,379

P:;;;;0,98
ERR:;;;;8

;REQ;;CNC;;RPL;;DSC;;ERR;;;
Client;T REQ;N cnc;T CNC;N cnc;T RPL;N cnc;T DSC;N cnc;T ERR;N cnc;Reply;Port
0;0;0;37;1;39;6;1040;21;;0;DE43BDE8;57441
1;2;0;37;2;1055;21;2057;20;;0;DE43BDE9;57442
2;3;0;38;3;2074;20;3076;19;;0;DE43BDEA;57443
3;5;0;38;4;3090;19;4092;18;;0;DE43BDEB;57444
4;6;0;38;5;4107;18;5109;17;;0;DE43BDEC;57445
5;7;0;39;6;5123;17;6124;16;;0;DE43BDED;57446
6;8;0;510;9;8171;14;9173;13;;0;DE43BDF0;57447
7;9;0;512;11;10205;12;11207;11;;0;DE43BDF2;57448
8;10;0;513;12;11220;11;12221;10;;0;DE43BDF3;57449
9;11;0;512;10;9189;13;10190;12;;0;DE43BDF1;57450
10;11;0;514;13;12226;10;13227;9;;0;DE43BDF4;57451
11;13;0;39;7;6138;16;7140;15;;0;DE43BDEE;57452
12;14;0;516;14;13251;9;14253;8;;0;DE43BDF5;57453
13;15;0;1016;16;15283;7;16285;6;;0;DE43BDF7;57454
14;15;0;1018;17;16300;6;17301;5;;0;DE43BDF8;57455
15;16;0;1019;18;17306;5;18308;4;;0;DE43BDF9;57456
16;17;0;1020;20;19341;3;20344;2;;0;DE43BDFB;57457
17;19;0;1020;19;18322;4;19323;3;;0;DE43BDFA;57458
18;20;0;1021;21;20361;2;21362;1;;0;DE43BDFC;57459
19;20;0;;0;;0;;0;1023;21;0;57460
20;22;0;;0;;0;;0;1023;21;0;57461
21;24;0;39;8;7154;15;8155;14;;0;DE43BDEF;57462
22;25;0;527;15;14268;8;15269;7;;0;DE43BDF6;57463
23;26;0;;0;;0;;0;1027;21;0;57464
24;27;0;;0;;0;;0;1027;21;0;57465
25;28;0;;0;;0;;0;1029;21;0;57466
26;30;0;1032;22;21377;1;22379;0;;0;DE43BDFD;57467
27;30;0;;0;;0;;0;1032;22;0;57468
28;31;0;;0;;0;;0;1032;22;0;57469
29;32;0;;0;;0;;0;1032;22;0;57470
